Frame,Sub Frame,"Position - TelloUWB11",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"41.4556","37.246","85.4395"
2,0,"41.4687","37.2473","85.4425"
3,0,"41.4333","37.154","85.569"
4,0,"41.1215","37.0177","86.1171"
5,0,"41.4804","37.2991","85.3981"
6,0,"41.4188","37.1287","85.5971"
7,0,"41.4488","37.2553","85.4449"
8,0,"41.4686","37.2992","85.4057"
9,0,"41.4714","37.3001","85.4009"
10,0,"41.4397","37.1618","85.571"
11,0,"41.4723","37.1249","85.4585"
12,0,"41.4141","37.1235","85.5967"
13,0,"41.4907","37.2112","85.3395"
14,0,"41.4487","37.2524","85.4292"
15,0,"41.4721","37.2962","85.4133"
16,0,"41.4759","37.2933","85.4044"
17,0,"41.433","37.1554","85.5889"
18,0,"41.1496","37.2271","85.9846"
19,0,"41.3966","37.1883","85.6126"
20,0,"41.4231","37.1266","85.6025"
21,0,"41.4447","37.1474","85.5914"
22,0,"41.4618","37.2492","85.4386"
23,0,"41.4213","37.1561","85.5723"
24,0,"41.4781","37.2978","85.3972"
25,0,"41.4327","37.1587","85.562"
26,0,"41.4636","37.2803","85.4129"
27,0,"41.4158","37.1312","85.603"
28,0,"41.4531","37.2654","85.4394"
29,0,"41.473","37.2907","85.3924"
30,0,"41.4676","37.2571","85.4345"
31,0,"41.4817","37.3045","85.3961"
32,0,"41.4335","37.157","85.567"
33,0,"41.46","37.2506","85.4536"
34,0,"41.4219","37.1629","85.5661"
35,0,"41.47","37.3027","85.3972"
36,0,"41.426","37.127","85.6032"
37,0,"41.478","37.3012","85.4014"
38,0,"41.455","37.2494","85.4569"
39,0,"41.5076","37.2608","85.3019"
40,0,"41.4498","37.2579","85.4393"
41,0,"41.4686","37.2974","85.4011"
42,0,"41.4711","37.288","85.4253"
43,0,"41.4716","37.2889","85.4135"
44,0,"41.4727","37.2833","85.4116"
45,0,"41.4275","37.1522","85.5655"
46,0,"41.4657","37.2955","85.4041"
47,0,"41.4815","37.2951","85.4119"
48,0,"41.4605","37.2549","85.4475"
49,0,"41.4533","37.2522","85.4492"
50,0,"41.4738","37.2932","85.4015"
51,0,"41.4591","37.2586","85.4354"
52,0,"41.5236","37.2708","85.2764"
53,0,"41.6865","36.9531","85.5674"
54,0,"41.4806","37.3046","85.3969"
55,0,"41.4359","37.1591","85.5723"
56,0,"41.4461","37.2435","85.4562"
57,0,"41.4425","37.1531","85.5658"
58,0,"41.4107","37.1284","85.5911"
59,0,"41.4462","37.2469","85.4634"
60,0,"41.4378","37.1621","85.5587"
61,0,"41.4684","37.3018","85.3938"
62,0,"41.481","37.2965","85.4119"
63,0,"41.456","37.2571","85.4495"
64,0,"41.4739","37.2845","85.4121"
65,0,"41.4385","37.1505","85.578"
66,0,"41.4828","37.2952","85.3966"
67,0,"41.4731","37.2833","85.4146"
68,0,"41.4558","37.252","85.4322"
69,0,"41.7048","36.9826","85.5437"
70,0,"41.4249","37.1627","85.5563"
71,0,"41.4674","37.2935","85.4003"
72,0,"41.4468","37.1928","85.4672"
73,0,"41.1788","37.1608","85.9413"
74,0,"41.4518","37.2464","85.4652"
75,0,"41.4696","37.2895","85.4131"
76,0,"41.4519","37.3762","85.4182"
77,0,"41.4658","37.2869","85.409"
78,0,"41.4088","37.1236","85.5799"
79,0,"41.4386","37.1527","85.5578"
80,0,"41.4744","37.2816","85.4062"
81,0,"41.4607","37.1354","85.4375"
82,0,"41.4527","37.2508","85.4389"
83,0,"41.4759","37.2894","85.396"
84,0,"41.425","37.1597","85.5568"
85,0,"41.4778","37.2855","85.4005"
86,0,"41.4626","37.2945","85.4045"
87,0,"41.4759","37.2952","85.4021"
88,0,"41.4242","37.1596","85.5724"
89,0,"41.6553","36.838","85.7118"
90,0,"41.4825","37.2943","85.4105"
91,0,"41.4343","37.1512","85.5768"
92,0,"41.4661","37.2992","85.4014"
93,0,"41.4313","37.1534","85.5722"
94,0,"41.4113","37.1266","85.5804"
95,0,"41.4346","37.1529","85.5748"
96,0,"41.4424","37.3609","85.4487"
97,0,"41.4179","37.1172","85.5872"
98,0,"41.4368","37.1508","85.5811"
99,0,"41.4192","37.1606","85.5527"
100,0,"41.6952","36.9288","85.5734"
101,0,"41.4621","37.2966","85.4027"
102,0,"41.4215","37.1648","85.5355"
103,0,"41.4661","37.2966","85.401"
104,0,"41.4278","37.1581","85.5708"
105,0,"41.4759","37.2882","85.4068"
106,0,"41.4641","37.298","85.3946"
107,0,"41.4689","37.2917","85.3999"
108,0,"41.4339","37.1535","85.5685"
109,0,"41.4267","37.158","85.5677"
110,0,"41.4608","37.2456","85.4606"
111,0,"41.4317","37.1613","85.5441"
112,0,"41.4291","37.1541","85.5574"
113,0,"41.454","37.2548","85.4307"
114,0,"41.4253","37.161","85.5599"
115,0,"41.6684","36.8499","85.7016"
116,0,"41.4507","37.2531","85.4458"
117,0,"41.476","37.124","85.4527"
118,0,"41.4767","37.3082","85.376"
119,0,"41.1239","37.0284","86.1264"
120,0,"41.4123","37.1281","85.5753"
121,0,"41.475","37.291","85.3989"
122,0,"41.4814","37.2925","85.4086"
123,0,"41.4902","37.3137","85.3913"
124,0,"41.4322","37.1452","85.5794"
125,0,"41.4546","37.2498","85.4294"
126,0,"41.4652","37.288","85.4111"
127,0,"41.476","37.2827","85.3924"
128,0,"41.4265","37.1594","85.5544"
129,0,"41.4709","37.2959","85.3923"
130,0,"41.4759","37.2991","85.3939"
131,0,"41.4849","37.3008","85.3955"
132,0,"41.4736","37.2943","85.3939"
133,0,"41.4682","37.2954","85.4071"
134,0,"41.4743","37.2993","85.4029"
135,0,"41.4697","37.2957","85.3954"
136,0,"41.4482","37.2551","85.4411"
137,0,"41.4332","37.1473","85.5773"
138,0,"41.6664","36.8364","85.7055"
139,0,"41.4088","37.2105","85.5996"
140,0,"41.4632","37.2882","85.3988"
