113126527,=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2025.11.03 11:31:26 =~=~=~=~=~=~=~=~=~=~=~=
113126527,POS,0,C6AC,-0.12,0.83,0.88,76,x06
113126533,POS,1,0FAC,0.26,0.06,-0.19,62,x0E
113126626,POS,0,C6AC,-0.11,0.83,0.87,82,x06
113126633,POS,1,0FAC,0.27,0.07,-0.18,67,x0E
113126726,POS,0,C6AC,-0.11,0.83,0.85,83,x06
113126732,POS,1,0FAC,0.27,0.09,-0.18,66,x0E
113126826,POS,0,C6AC,-0.14,0.87,0.95,56,x06
113126832,POS,1,0FAC,0.28,0.08,-0.18,64,x0E
113126927,POS,0,C6AC,-0.15,0.84,0.94,82,x06
113126933,POS,1,0FAC,0.28,0.08,-0.18,64,x0E
113127026,POS,0,C6AC,-0.14,0.84,0.91,83,x06
113127032,POS,1,0FAC,0.28,0.08,-0.18,64,x0E
113127126,POS,0,C6AC,-0.13,0.83,0.92,80,x06
113127131,POS,1,0FAC,0.28,0.09,-0.18,66,x0E
113127226,POS,0,C6AC,-0.13,0.82,0.94,80,x06
113127232,POS,1,0FAC,0.28,0.10,-0.18,65,x0E
113127326,POS,0,C6AC,-0.12,0.81,0.93,83,x06
113127332,POS,1,0FAC,0.29,0.10,-0.19,62,x0E
113127426,POS,0,C6AC,-0.12,0.80,0.94,79,x06
113127432,POS,1,0FAC,0.28,0.09,-0.19,64,x0E
113127527,POS,0,C6AC,-0.12,0.80,0.96,78,x06
113127533,POS,1,0FAC,0.25,0.08,-0.18,66,x0E
113127626,POS,0,C6AC,-0.12,0.82,0.95,77,x06
113127632,POS,1,0FAC,0.27,0.08,-0.17,67,x0E
113127726,POS,0,C6AC,-0.11,0.81,0.96,81,x06
113127757,POS,1,0FAC,0.28,0.08,-0.18,62,x0E
113127827,POS,0,C6AC,-0.11,0.80,0.98,79,x06
113127830,POS,1,0FAC,0.29,0.08,-0.19,62,x0E
113127926,POS,0,C6AC,-0.11,0.80,0.91,85,x06
113127930,POS,1,0FAC,0.29,0.10,-0.18,68,x0E
113128027,POS,0,C6AC,-0.12,0.79,0.94,80,x06
113128030,POS,1,0FAC,0.30,0.10,-0.17,68,x0E
113128126,POS,0,C6AC,-0.12,0.80,0.99,71,x06
113128132,POS,1,0FAC,0.30,0.09,-0.19,61,x0E
113128227,POS,0,C6AC,-0.11,0.80,0.96,82,x06
113128232,POS,1,0FAC,0.29,0.11,-0.17,69,x0E
113128326,POS,0,C6AC,-0.12,0.80,0.94,82,x06
113128330,POS,1,0FAC,0.30,0.10,-0.18,63,x0E
113128426,POS,0,C6AC,-0.12,0.80,0.94,80,x06
113128429,POS,1,0FAC,0.27,0.08,-0.16,69,x0E
113128526,POS,0,C6AC,-0.12,0.80,0.94,81,x06
113128530,POS,1,0FAC,0.28,0.10,-0.16,68,x0E
113128627,POS,0,C6AC,-0.13,0.80,0.95,78,x06
113128630,POS,1,0FAC,0.28,0.10,-0.16,66,x0E
113128726,POS,0,C6AC,-0.12,0.79,0.92,87,x06
113128730,POS,1,0FAC,0.25,0.07,-0.15,66,x0E
113128827,POS,0,C6AC,-0.12,0.80,0.91,80,x06
113128830,POS,1,0FAC,0.26,0.07,-0.16,63,x0E
113128926,POS,0,C6AC,-0.12,0.83,0.97,68,x06
113128931,POS,1,0FAC,0.27,0.06,-0.16,65,x0E
113129027,POS,0,C6AC,-0.11,0.82,0.93,84,x06
113129032,POS,1,0FAC,0.29,0.07,-0.18,61,x0E
113129126,POS,0,C6AC,-0.11,0.81,0.94,80,x06
113129131,POS,1,0FAC,0.28,0.08,-0.19,63,x0E
113129226,POS,0,C6AC,-0.12,0.80,0.93,82,x06
113129230,POS,1,0FAC,0.29,0.08,-0.20,63,x0E
113129327,POS,0,C6AC,-0.12,0.82,0.94,77,x06
113129333,POS,1,0FAC,0.30,0.09,-0.19,66,x0E
113129426,POS,0,C6AC,-0.11,0.81,0.92,84,x06
113129430,POS,1,0FAC,0.29,0.08,-0.18,66,x0E
113129526,POS,0,C6AC,-0.11,0.81,0.89,84,x06
113129530,POS,1,0FAC,0.30,0.08,-0.18,64,x0E
113129625,POS,0,C6AC,-0.11,0.81,0.87,83,x06
113129629,POS,1,0FAC,0.31,0.08,-0.19,63,x0E
113129727,POS,0,C6AC,-0.12,0.84,0.91,71,x06
113129731,POS,1,0FAC,0.29,0.09,-0.19,66,x0E
113129826,POS,0,C6AC,-0.12,0.82,0.90,83,x06
113129830,POS,1,0FAC,0.28,0.08,-0.17,67,x0E
113129926,POS,0,C6AC,-0.12,0.81,0.90,82,x06
113129930,POS,1,0FAC,0.29,0.08,-0.18,64,x0E
113130026,POS,0,C6AC,-0.13,0.80,0.91,81,x06
113130031,POS,1,0FAC,0.30,0.05,-0.19,58,x0E
113130127,POS,0,C6AC,-0.13,0.80,0.92,79,x06
113130131,POS,1,0FAC,0.26,0.05,-0.18,66,x0E
113130226,POS,0,C6AC,-0.12,0.80,0.93,80,x06
113130231,POS,1,0FAC,0.27,0.06,-0.20,61,x0E
113130326,POS,0,C6AC,-0.13,0.80,0.93,80,x06
113130330,POS,1,0FAC,0.28,0.07,-0.19,67,x0E
113130426,POS,0,C6AC,-0.14,0.83,0.98,69,x06
113130430,POS,1,0FAC,0.29,0.11,-0.15,83,x0E
113130526,POS,0,C6AC,-0.13,0.82,0.93,84,x06
113130530,POS,1,0FAC,0.30,0.10,-0.15,66,x0E
113130626,POS,0,C6AC,-0.13,0.81,0.93,81,x06
113130629,POS,1,0FAC,0.26,0.07,-0.16,64,x0E
113130725,POS,0,C6AC,-0.14,0.80,0.99,72,x06
113130740,POS,1,0FAC,0.27,0.09,-0.17,64,x0E
113130826,POS,0,C6AC,-0.13,0.79,0.96,84,x06
113130830,POS,1,0FAC,0.24,0.08,-0.16,67,x0E
113130926,POS,0,C6AC,-0.13,0.79,0.95,81,x06
113130930,POS,1,0FAC,0.26,0.05,-0.18,58,x0E
113131026,POS,0,C6AC,-0.14,0.82,0.97,71,x06
113131030,POS,1,0FAC,0.26,0.07,-0.19,63,x0E
113131126,POS,0,C6AC,-0.14,0.84,1.00,71,x06
113131131,POS,1,0FAC,0.27,0.09,-0.19,66,x0E
113131227,POS,0,C6AC,-0.12,0.83,0.86,84,x06
113131231,POS,1,0FAC,0.28,0.07,-0.18,64,x0E
113131326,POS,0,C6AC,-0.12,0.82,0.90,77,x06
113131330,POS,1,0FAC,0.29,0.07,-0.19,62,x0E
113131426,POS,0,C6AC,-0.11,0.81,0.75,82,x06
113131431,POS,1,0FAC,0.29,0.08,-0.20,62,x0E
113131526,POS,0,C6AC,-0.11,0.81,0.81,79,x06
113131529,POS,1,0FAC,0.28,0.08,-0.19,67,x0E
113131627,POS,0,C6AC,-0.11,0.80,0.83,84,x06
113131631,POS,1,0FAC,0.29,0.08,-0.20,61,x0E
113131726,POS,0,C6AC,-0.10,0.80,0.82,85,x06
113131731,POS,1,0FAC,0.30,0.07,-0.20,61,x0E
113131826,POS,0,C6AC,-0.11,0.79,0.81,84,x06
113131830,POS,1,0FAC,0.30,0.08,-0.21,63,x0E
113131926,POS,0,C6AC,-0.12,0.79,0.84,81,x06
113131931,POS,1,0FAC,0.31,0.07,-0.20,64,x0E
113132025,POS,0,C6AC,-0.12,0.81,0.90,72,x06
113132030,POS,1,0FAC,0.31,0.06,-0.20,61,x0E
113132126,POS,0,C6AC,-0.12,0.81,0.87,83,x06
113132131,POS,1,0FAC,0.31,0.07,-0.20,64,x0E
113132226,POS,0,C6AC,-0.12,0.81,0.88,81,x06
113132230,POS,1,0FAC,0.31,0.08,-0.19,66,x0E
113132326,POS,0,C6AC,-0.12,0.80,0.91,80,x06
113132331,POS,1,0FAC,0.31,0.08,-0.21,60,x0E
113132425,POS,0,C6AC,-0.12,0.79,0.91,82,x06
113132430,POS,1,0FAC,0.31,0.10,-0.19,68,x0E
113132526,POS,0,C6AC,-0.15,0.84,1.00,57,x06
113132529,POS,1,0FAC,0.29,0.09,-0.18,67,x0E
113132626,POS,0,C6AC,-0.14,0.83,0.96,82,x06
113132630,POS,1,0FAC,0.29,0.10,-0.16,71,x0E
113132727,POS,0,C6AC,-0.13,0.82,0.94,83,x06
113132731,POS,1,0FAC,0.28,0.07,-0.16,63,x0E
113132826,POS,0,C6AC,-0.13,0.81,0.96,78,x06
113132830,POS,1,0FAC,0.28,0.06,-0.18,61,x0E
113132927,POS,0,C6AC,-0.13,0.79,1.02,72,x06
113132931,POS,1,0FAC,0.28,0.08,-0.17,68,x0E
113133026,POS,0,C6AC,-0.12,0.80,0.96,83,x06
113133031,POS,1,0FAC,0.29,0.09,-0.18,63,x0E
113133126,POS,0,C6AC,-0.13,0.83,0.99,70,x06
113133131,POS,1,0FAC,0.29,0.09,-0.18,66,x0E
113133226,POS,0,C6AC,-0.13,0.82,1.01,77,x06
113133230,POS,1,0FAC,0.30,0.09,-0.17,66,x0E
113133326,POS,0,C6AC,-0.12,0.81,0.87,84,x06
113133331,POS,1,0FAC,0.30,0.11,-0.16,70,x0E
113133426,POS,0,C6AC,-0.12,0.81,0.90,79,x06
113133429,POS,1,0FAC,0.29,0.11,-0.17,65,x0E
113133526,POS,0,C6AC,-0.11,0.80,0.90,82,x06
113133530,POS,1,0FAC,0.30,0.10,-0.18,61,x0E
113133626,POS,0,C6AC,-0.13,0.82,0.95,71,x06
113133630,POS,1,0FAC,0.28,0.09,-0.17,66,x0E
113133726,POS,0,C6AC,-0.13,0.81,0.95,81,x06
113133731,POS,1,0FAC,0.29,0.08,-0.18,62,x0E
113133827,POS,0,C6AC,-0.13,0.84,0.96,73,x06
113133831,POS,1,0FAC,0.30,0.08,-0.19,63,x0E
113133926,POS,0,C6AC,-0.13,0.84,0.92,82,x06
113133931,POS,1,0FAC,0.30,0.08,-0.19,63,x0E
