112725924,POS,1,0,-0.1,0.97,0.08,73,0
112726016,POS,0,6,-0.03,0.11,0.52,80,8
112726016,POS,1,0,-0.11,0.99,0.15,74,0
112726116,POS,0,0,-0.11,1,0.22,87,0
112726216,POS,0,6,-0.04,0.13,0.5,82,8
112726223,POS,1,0,-0.13,0.99,0.25,75,0
112726315,POS,0,6,-0.02,0.13,0.47,88,8
112726322,POS,1,0,-0.13,0.99,0.31,73,0
112726414,POS,0,6,-0.01,0.12,0.48,81,8
112726422,POS,1,0,-0.12,0.99,0.39,79,0
112726513,POS,0,6,-0.02,0.14,0.46,88,8
112726520,POS,1,0,-0.12,0.97,0.14,71,0
112726620,POS,0,6,-0.03,0.15,0.46,84,8
112726620,POS,1,0,-0.11,0.96,0.01,77,0
112726718,POS,0,6,-0.03,0.14,0.49,79,8
112726718,POS,1,0,-0.11,0.95,0.17,70,0
112726818,POS,0,6,-0.03,0.17,0.45,91,8
112726818,POS,1,0,-0.12,0.94,0.22,78,0
112726917,POS,0,6,-0.04,0.2,0.4,94,8
112726917,POS,1,0,-0.13,0.94,0.02,71,0
112727017,POS,0,6,-0.03,0.19,0.43,82,8
112727017,POS,1,0,-0.12,0.95,0.01,97,0
112727119,POS,0,6,-0.02,0.17,0.47,79,8
112727121,POS,1,0,-0.12,0.96,0.07,77,0
112727216,POS,0,6,-0.02,0.19,0.44,91,8
112727223,POS,1,0,-0.13,0.97,0.17,73,0
112727314,POS,0,6,-0.02,0.18,0.48,80,8
112727314,POS,1,0,-0.11,1,0.26,82,0
112727414,POS,0,6,-0.02,0.19,0.47,87,8
112727421,POS,1,0,-0.13,1,0.35,67,0
112727513,POS,0,6,-0.01,0.16,0.39,92,8
112727520,POS,1,0,-0.13,1,0.33,78,0
112727612,POS,0,6,-0.02,0.16,0.45,76,8
112727620,POS,1,0,-0.1,1.02,0.41,76,0
112727718,POS,0,6,-0.02,0.18,0.43,90,8
112727718,POS,1,0,-0.12,1.01,0.46,67,0
112727818,POS,0,6,-0.02,0.18,0.44,85,8
112727818,POS,1,0,-0.13,0.98,0.21,74,0
112727918,POS,0,6,-0.02,0.19,0.44,87,8
112727918,POS,1,0,-0.12,1,0.26,87,0
112728017,POS,0,6,-0.03,0.17,0.47,81,8
112728023,POS,1,0,-0.11,0.97,0.07,78,0
112728116,POS,0,6,-0.02,0.15,0.48,81,8
112728116,POS,1,0,-0.11,0.95,0.1,73,0
112728215,POS,0,6,-0.03,0.15,0.49,82,8
112728222,POS,1,0,-0.1,0.94,0.22,73,0
112728316,POS,0,6,-0.03,0.16,0.49,84,8
112728322,POS,1,0,-0.12,0.95,0.06,74,0
112728419,POS,0,6,-0.03,0.15,0.5,81,8
112728423,POS,1,0,-0.12,0.92,0.18,75,0
112728519,POS,0,6,-0.03,0.17,0.49,87,8
112728527,POS,1,0,-0.13,0.95,0.08,77,0
112728619,POS,0,6,-0.03,0.17,0.49,85,8
112728625,POS,1,0,-0.14,0.95,0.09,70,0
112728719,POS,0,6,-0.03,0.17,0.5,82,8
112728724,POS,1,0,-0.15,0.97,0.23,64,0
112728819,POS,0,6,-0.03,0.16,0.5,83,8
