120917992,=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2025.11.03 12:09:17 =~=~=~=~=~=~=~=~=~=~=~=
120917993,POS,0,C6AC,0.14,0.13,0.04,79,x06
120918001,POS,1,0FAC,-0.01,0.96,1.09,83,x0E
120918078,POS,0,C6AC,0.13,0.13,0.02,74,x06
120918082,POS,1,0FAC,-0.05,1.03,1.13,59,x0E
120918178,POS,0,C6AC,0.11,0.10,0.03,78,x06
120918182,POS,1,0FAC,-0.02,0.98,1.12,78,x0E
120918278,POS,0,C6AC,0.12,0.07,0.06,82,x06
120918282,POS,1,0FAC,-0.06,1.05,1.16,55,x0E
120918379,POS,0,C6AC,0.13,0.09,0.10,88,x06
120918384,POS,1,0FAC,-0.03,0.99,1.14,81,x0E
120918478,POS,0,C6AC,0.13,0.10,0.10,83,x06
120918483,POS,1,0FAC,-0.03,0.95,1.13,75,x0E
120918578,POS,0,C6AC,0.12,0.10,0.06,73,x06
120918581,POS,1,0FAC,-0.06,1.03,1.16,59,x0E
120918678,POS,0,C6AC,0.09,0.06,0.07,75,x06
120918681,POS,1,0FAC,-0.03,0.98,1.14,78,x0E
120918778,POS,0,C6AC,0.10,0.06,0.04,74,x06
120918781,POS,1,0FAC,-0.00,0.94,1.11,82,x0E
120918878,POS,0,C6AC,0.10,0.05,0.04,77,x06
120918882,POS,1,0FAC,-0.01,0.92,1.08,79,x0E
120918977,POS,0,C6AC,0.11,0.07,0.06,84,x06
120918981,POS,1,0FAC,0.01,0.89,1.08,80,x0E
120919078,POS,0,C6AC,0.11,0.09,0.06,81,x06
120919082,POS,1,0FAC,-0.03,0.98,1.09,66,x0E
120919178,POS,0,C6AC,0.12,0.08,0.04,74,x06
120919181,POS,1,0FAC,-0.06,1.05,1.13,57,x0E
120919279,POS,0,C6AC,0.12,0.06,0.02,73,x06
120919283,POS,1,0FAC,-0.09,1.10,1.17,56,x0E
120919378,POS,0,C6AC,0.12,0.09,0.02,79,x06
120919382,POS,1,0FAC,-0.10,1.14,1.18,61,x0E
120919478,POS,0,C6AC,0.09,0.03,-0.03,60,x06
120919483,POS,1,0FAC,-0.13,1.16,1.20,58,x0E
120919578,POS,0,C6AC,0.09,0.02,-0.00,79,x06
120919582,POS,1,0FAC,-0.08,1.07,1.15,83,x0E
120919679,POS,0,C6AC,0.10,0.04,-0.02,73,x06
120919682,POS,1,0FAC,-0.11,1.11,1.18,58,x0E
120919777,POS,0,C6AC,0.10,0.03,-0.01,76,x06
120919784,POS,1,0FAC,-0.06,1.04,1.16,78,x0E
120919879,POS,0,C6AC,0.10,0.02,-0.02,71,x06
120919882,POS,1,0FAC,-0.03,0.98,1.13,82,x0E
120919977,POS,0,C6AC,0.11,0.04,0.01,82,x06
120919983,POS,1,0FAC,-0.00,0.94,1.11,80,x0E
120920079,POS,0,C6AC,0.11,0.07,-0.01,75,x06
120920082,POS,1,0FAC,0.02,0.90,1.12,79,x0E
120920178,POS,0,C6AC,0.12,0.08,0.05,88,x06
120920183,POS,1,0FAC,0.01,0.88,1.11,77,x0E
120920279,POS,0,C6AC,0.12,0.10,0.06,82,x06
120920283,POS,1,0FAC,0.02,0.88,1.12,74,x0E
120920378,POS,0,C6AC,0.12,0.10,0.02,71,x06
120920396,POS,1,0FAC,0.04,0.85,1.06,88,x0E
120920478,POS,0,C6AC,0.13,0.07,0.00,72,x06
120920483,POS,1,0FAC,-0.01,0.95,1.11,60,x0E
120920578,POS,0,C6AC,0.13,0.10,0.02,82,x06
120920583,POS,1,0FAC,-0.01,0.93,1.10,75,x0E
