Frame,Sub Frame,"Position - TelloUWB2",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"-106.068","985.258","-33.4185"
2,0,"-105.804","985.34","-33.9265"
3,0,"-105.825","985.352","-33.899"
4,0,"-105.698","985.176","-33.8078"
5,0,"-106.045","985.202","-33.4287"
6,0,"-106.257","985.72","-34.1305"
7,0,"-106.436","985.581","-33.7759"
8,0,"-106.062","985.191","-33.3843"
9,0,"-106.49","985.562","-33.6658"
10,0,"-106.059","985.212","-33.3913"
11,0,"-106.067","985.242","-33.4771"
12,0,"-106.226","985.959","-33.5888"
13,0,"-105.805","985.348","-33.9043"
14,0,"-106.059","985.237","-33.4084"
15,0,"-106.055","985.266","-33.4806"
16,0,"-106.084","985.242","-33.4493"
17,0,"-105.816","985.331","-33.9091"
18,0,"-106.114","985.245","-33.4178"
19,0,"-106.015","984.751","-33.8991"
20,0,"-106.057","985.223","-33.4572"
21,0,"-105.786","985.324","-33.9451"
22,0,"-106.088","985.193","-33.3911"
23,0,"-106.056","985.239","-33.4872"
24,0,"-106.325","985.477","-33.5499"
25,0,"-106.072","985.192","-33.3968"
26,0,"-106.047","985.218","-33.4175"
27,0,"-106.092","985.214","-33.3694"
28,0,"-106.059","985.223","-33.3996"
29,0,"-106.069","985.218","-33.4806"
30,0,"-106.073","985.227","-33.4283"
31,0,"-106.06","985.232","-33.4591"
32,0,"-106.077","985.197","-33.4371"
33,0,"-106.057","985.215","-33.4298"
34,0,"-106.073","985.203","-33.405"
35,0,"-105.997","985.052","-33.3401"
36,0,"-106.08","985.243","-33.4553"
37,0,"-106.442","985.562","-33.7328"
38,0,"-105.8","985.376","-33.907"
39,0,"-106.049","985.236","-33.4834"
40,0,"-106.068","985.215","-33.375"
41,0,"-106.084","985.237","-33.3751"
42,0,"-105.801","985.33","-33.9317"
43,0,"-106.106","985.278","-33.4495"
44,0,"-106.028","985.206","-33.4424"
45,0,"-106.039","985.214","-33.4377"
46,0,"-106.073","985.211","-33.4441"
47,0,"-106.068","985.221","-33.4581"
48,0,"-106.065","985.219","-33.4285"
49,0,"-106.056","985.243","-33.4571"
50,0,"-106.063","985.231","-33.4478"
51,0,"-106.068","985.263","-33.4493"
52,0,"-106.084","985.23","-33.3515"
53,0,"-106.067","985.22","-33.4495"
54,0,"-106.051","985.226","-33.4779"
55,0,"-106.054","985.22","-33.3952"
56,0,"-106.478","985.577","-33.6601"
57,0,"-106.071","985.236","-33.444"
58,0,"-106.064","985.206","-33.432"
59,0,"-105.809","985.589","-33.3947"
60,0,"-106.019","984.762","-33.8176"
61,0,"-106.084","985.235","-33.4386"
62,0,"-106.061","985.221","-33.4637"
63,0,"-106.063","985.243","-33.4639"
64,0,"-106.071","985.256","-33.4058"
65,0,"-106.089","985.22","-33.3474"
66,0,"-106.057","985.22","-33.4879"
67,0,"-106.058","985.252","-33.4295"
68,0,"-106.064","985.225","-33.4012"
69,0,"-106.073","985.218","-33.4276"
70,0,"-106.054","985.234","-33.4715"
71,0,"-105.953","984.607","-33.7491"
72,0,"-106.458","985.56","-33.6367"
73,0,"-106.07","985.203","-33.4147"
74,0,"-106.076","985.224","-33.4427"
75,0,"-106.478","985.594","-33.6716"
76,0,"-106.054","985.224","-33.4247"
77,0,"-106.066","985.237","-33.4116"
78,0,"-106.081","985.251","-33.4077"
79,0,"-106","985.238","-33.5133"
80,0,"-105.802","985.319","-33.9296"
81,0,"-105.986","985.069","-33.3496"
82,0,"-106.465","985.581","-33.6588"
83,0,"-106.065","985.225","-33.488"
84,0,"-106.08","985.244","-33.4547"
85,0,"-106.085","985.214","-33.3923"
86,0,"-106.461","985.616","-33.7339"
87,0,"-106.054","985.191","-33.4184"
88,0,"-105.745","985.046","-33.84"
89,0,"-105.481","985.705","-33.9253"
90,0,"-106.015","985.242","-33.4909"
91,0,"-106.467","985.562","-33.6786"
92,0,"-106.028","985.247","-33.4925"
93,0,"-106.47","985.564","-33.7031"
94,0,"-106.068","985.256","-33.4691"
95,0,"-105.795","985.564","-33.3925"
96,0,"-106.058","985.215","-33.4593"
97,0,"-106.033","985.211","-33.4477"
98,0,"-105.775","985.359","-33.9279"
99,0,"-106.451","985.58","-33.6841"
100,0,"-106.025","985.214","-33.4996"
101,0,"-106.062","985.278","-33.4811"
102,0,"-105.993","984.79","-33.8996"
103,0,"-106.443","985.619","-33.736"
104,0,"-106.032","984.71","-33.8207"
105,0,"-106.057","985.217","-33.4166"
106,0,"-106.052","985.209","-33.465"
107,0,"-105.769","985.555","-33.4596"
108,0,"-105.997","984.726","-33.8547"
109,0,"-106.007","984.788","-33.895"
110,0,"-106.016","984.751","-33.8075"
111,0,"-106.013","984.734","-33.8915"
112,0,"-106.058","985.219","-33.4411"
113,0,"-106.006","984.756","-33.866"
114,0,"-106.074","985.231","-33.4412"
115,0,"-105.796","985.571","-33.409"
116,0,"-106.085","985.232","-33.4641"
117,0,"-106.063","985.222","-33.4203"
118,0,"-106.042","985.21","-33.4794"
119,0,"-106.062","985.257","-33.4541"
120,0,"-106.467","985.592","-33.7357"
121,0,"-106.062","985.247","-33.4851"
122,0,"-106.051","985.205","-33.4477"
123,0,"-105.767","985.329","-33.9462"
124,0,"-106.065","985.232","-33.3679"
125,0,"-106.053","985.228","-33.4164"
126,0,"-106.065","984.532","-33.955"
127,0,"-106.079","985.232","-33.4248"
128,0,"-106.009","984.723","-33.8387"
129,0,"-106.046","985.237","-33.5113"
130,0,"-106.059","985.224","-33.4544"
131,0,"-105.715","985.279","-33.8671"
132,0,"-106.033","985.194","-33.4496"
133,0,"-106.449","985.582","-33.6728"
134,0,"-106.439","985.618","-33.6905"
135,0,"-106.014","984.765","-33.8514"
136,0,"-106.064","985.22","-33.4973"
137,0,"-105.78","985.148","-33.8556"
138,0,"-106.033","985.2","-33.4693"
139,0,"-106.06","985.224","-33.3972"
