Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1761038867.1963236,-10.0,-4.0,-996.0,0,0,0,0.0,0.0,0.0
1761038867.3094592,-9.0,-3.0,-1002.0,0,0,0,0.0,0.0,0.0
1761038867.4225645,-10.0,-4.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038867.5343733,-9.0,-4.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038867.644196,-9.0,-3.0,-996.0,0,0,0,0.0,0.0,0.0
1761038867.7602108,-10.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1761038867.8614137,-9.0,-4.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038867.97638,-8.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038868.0771034,-10.0,-3.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038868.1782582,-8.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038868.2934353,-9.0,-4.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038868.3947914,-9.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1761038868.498924,-9.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1761038868.608869,-10.0,-5.0,-999.0,0,0,0,0.0,0.0,0.0
1761038868.7095833,-9.0,-4.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038868.822675,-9.0,-4.0,-1000.0,0,0,0,0.0,0.0,0.0
1761038868.9357288,-10.0,-3.0,-998.0,0,0,0,0.0,0.0,0.0
1761038869.0488613,-9.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1761038869.159739,-10.0,-4.0,-1001.0,0,0,0,0.0,0.0,0.0
1761038869.261309,-9.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1761038869.3753383,-8.0,-7.0,-999.0,0,0,0,0.0,0.0,0.0
1761038869.4898677,-8.0,-2.0,-997.0,0,0,0,0.0,0.0,0.0
1761038869.6023884,-15.0,-6.0,-1003.0,0,0,0,0.0,0.0,0.0
1761038869.7150784,0.0,-2.0,-994.0,0,0,0,0.0,0.0,0.0
1761038869.8268032,-8.0,-7.0,-999.0,0,0,0,0.0,0.0,0.0
1761038869.9292214,-4.0,-2.0,-991.0,0,0,0,0.0,0.0,0.0
1761038870.0434816,-15.0,-25.0,-1066.0,0,0,0,0.0,0.0,0.0
1761038870.144824,-5.0,-8.0,-1095.0,0,0,0,0.0,0.0,0.0
1761038870.2595935,15.0,-3.0,-1138.0,0,0,0,0.0,0.0,0.0
1761038870.3614976,-2.0,-20.0,-1189.0,0,-1,2,0.0,-0.10190415382385254,0.20380830764770508
1761038870.4771488,2.0,-29.0,-1071.0,0,-1,3,0.0,-0.21755528450012207,0.5507616996765137
1761038870.5809326,-7.0,-26.0,-1008.0,0,0,4,0.0,-0.21755528450012207,0.9658970832824707
1761038870.689162,5.0,-5.0,-1020.0,0,0,4,0.0,-0.21755528450012207,1.3988146781921387
1761038870.801009,1.0,-23.0,-1017.0,0,0,4,0.0,-0.21755528450012207,1.8462023735046387
1761038870.906681,-11.0,-23.0,-1023.0,0,0,4,0.0,-0.21755528450012207,2.268890857696533
1761038871.019179,0.0,-9.0,-987.0,0,0,4,0.0,-0.21755528450012207,2.7188830375671387
1761038871.130256,-1.0,-6.0,-974.0,0,0,4,0.0,-0.21755528450012207,3.1631903648376465
