Frame,Sub Frame,"Position - TelloUWB11",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"-67.1992","948.288","-17.672"
2,0,"-67.148","948.347","-17.6743"
3,0,"-67.2004","948.293","-17.7126"
4,0,"-67.1788","948.355","-17.7412"
5,0,"-67.2022","948.293","-17.7152"
6,0,"-67.1885","948.294","-17.7109"
7,0,"-67.2043","948.287","-17.7208"
8,0,"-67.4254","947.901","-17.108"
9,0,"-67.1921","948.294","-17.7007"
10,0,"-67.2056","948.285","-17.7212"
11,0,"-67.1948","948.292","-17.7055"
12,0,"-67.1927","948.292","-17.7293"
13,0,"-67.1979","948.282","-17.7102"
14,0,"-67.173","948.352","-17.7463"
15,0,"-67.1804","948.282","-17.6972"
16,0,"-67.3981","948.057","-17.1793"
17,0,"-67.1907","948.275","-17.6751"
18,0,"-67.2073","948.282","-17.7189"
19,0,"-67.1929","948.297","-17.7353"
20,0,"-67.1914","948.349","-17.7626"
21,0,"-67.1951","948.304","-17.7184"
22,0,"-67.2009","948.284","-17.7109"
23,0,"-67.2038","948.279","-17.6936"
24,0,"-67.1997","948.289","-17.7059"
25,0,"-67.1925","948.288","-17.699"
26,0,"-67.1507","948.356","-17.7029"
27,0,"-67.1939","948.286","-17.7094"
28,0,"-67.1888","948.292","-17.7092"
29,0,"-67.1401","948.414","-17.7307"
30,0,"-67.2017","948.293","-17.7255"
31,0,"-67.1951","948.292","-17.7138"
32,0,"-67.4253","947.924","-17.0892"
33,0,"-67.1527","948.343","-17.691"
34,0,"-67.1537","948.34","-17.6641"
35,0,"-67.16","948.346","-17.6829"
36,0,"-67.1976","948.294","-17.7167"
37,0,"-67.1444","948.344","-17.6789"
38,0,"-67.1836","948.305","-17.7155"
39,0,"-67.5753","947.949","-16.9826"
40,0,"-67.1917","948.289","-17.7037"
41,0,"-67.1855","948.306","-17.7046"
42,0,"-67.1999","948.301","-17.7138"
43,0,"-67.1972","948.301","-17.6875"
44,0,"-67.1905","948.294","-17.7219"
45,0,"-67.1901","948.284","-17.71"
46,0,"-67.1762","948.355","-17.7463"
47,0,"-67.1803","948.299","-17.709"
48,0,"-67.1488","948.334","-17.6898"
49,0,"-67.2859","948.387","-17.5892"
50,0,"-67.1592","948.345","-17.6773"
51,0,"-67.1863","948.289","-17.6904"
52,0,"-67.1482","948.352","-17.6672"
53,0,"-67.1958","948.296","-17.7177"
54,0,"-67.1866","948.297","-17.7081"
55,0,"-67.1901","948.298","-17.7209"
56,0,"-67.1826","948.302","-17.7002"
57,0,"-67.1858","948.296","-17.7227"
58,0,"-67.1931","948.299","-17.7103"
59,0,"-67.1887","948.287","-17.7103"
60,0,"-67.1524","948.355","-17.6807"
61,0,"-67.1842","948.297","-17.6913"
62,0,"-67.429","947.911","-17.1011"
63,0,"-67.1942","948.301","-17.7061"
64,0,"-67.415","947.933","-17.0997"
65,0,"-67.1887","948.285","-17.7166"
66,0,"-67.1904","948.303","-17.7276"
67,0,"-67.1885","948.298","-17.7146"
68,0,"-67.191","948.301","-17.7185"
69,0,"-67.1971","948.299","-17.7185"
70,0,"-67.1918","948.292","-17.6941"
71,0,"-67.1953","948.286","-17.7022"
72,0,"-67.1902","948.307","-17.7071"
73,0,"-67.1844","948.283","-17.7073"
74,0,"-67.2034","948.285","-17.708"
75,0,"-67.1919","948.294","-17.7405"
76,0,"-67.1598","948.354","-17.6942"
77,0,"-67.143","948.34","-17.6938"
78,0,"-67.1947","948.299","-17.7073"
79,0,"-67.2013","948.299","-17.733"
80,0,"-67.2007","948.291","-17.7218"
81,0,"-67.2054","948.286","-17.7159"
82,0,"-67.2","948.292","-17.7072"
83,0,"-67.3285","948.327","-17.6099"
84,0,"-67.1973","948.294","-17.7151"
85,0,"-67.1937","948.291","-17.6862"
86,0,"-67.202","948.279","-17.6974"
87,0,"-67.1992","948.29","-17.7166"
88,0,"-67.1806","948.292","-17.7048"
89,0,"-67.1963","948.297","-17.7186"
90,0,"-67.3396","948.328","-17.6284"
91,0,"-67.418","947.9","-17.1015"
92,0,"-67.1496","948.351","-17.6807"
93,0,"-67.1805","948.309","-17.7135"
94,0,"-67.1575","948.345","-17.6738"
95,0,"-67.3904","948.065","-17.2011"
96,0,"-67.1908","948.289","-17.7029"
97,0,"-67.1935","948.298","-17.7102"
98,0,"-67.1913","948.293","-17.7054"
99,0,"-67.1875","948.296","-17.7002"
100,0,"-67.1825","948.291","-17.6911"
101,0,"-67.1916","948.292","-17.6841"
102,0,"-67.1926","948.282","-17.695"
103,0,"-67.1909","948.287","-17.7045"
104,0,"-67.4168","947.913","-17.1007"
105,0,"-67.292","948.371","-17.5845"
106,0,"-67.1487","948.347","-17.6755"
107,0,"-67.1553","948.335","-17.687"
108,0,"-67.1539","948.348","-17.6754"
109,0,"-67.1521","948.353","-17.6807"
110,0,"-67.1511","948.338","-17.6804"
111,0,"-67.2022","948.288","-17.7103"
112,0,"-67.1986","948.305","-17.7115"
113,0,"-67.1496","948.34","-17.6772"
114,0,"-67.1906","948.299","-17.7067"
115,0,"-67.1948","948.294","-17.7068"
116,0,"-67.1943","948.293","-17.7036"
117,0,"-67.1975","948.288","-17.6909"
118,0,"-67.4267","947.912","-17.08"
119,0,"-67.1952","948.316","-17.7171"
120,0,"-67.1991","948.289","-17.71"
121,0,"-67.2028","948.301","-17.7183"
122,0,"-67.1954","948.288","-17.7083"
123,0,"-67.1978","948.282","-17.6849"
124,0,"-67.1903","948.298","-17.7109"
125,0,"-67.193","948.289","-17.7156"
126,0,"-67.1934","948.296","-17.7225"
127,0,"-67.1896","948.303","-17.6984"
128,0,"-67.1365","948.349","-17.6786"
129,0,"-67.2931","948.384","-17.5846"
130,0,"-67.3347","948.327","-17.6306"
131,0,"-67.1918","948.292","-17.7217"
132,0,"-67.21","948.305","-17.7359"
133,0,"-67.1882","948.289","-17.6955"
