Frame,Sub Frame,"Position - TelloUWB11",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"34.4204","839.552","26.5081"
2,0,"34.4367","839.551","26.4763"
3,0,"34.6168","839.574","26.2958"
4,0,"34.4342","839.544","26.5051"
5,0,"34.4344","839.537","26.5231"
6,0,"34.4269","839.537","26.4978"
7,0,"34.4348","839.543","26.5012"
8,0,"34.4309","839.539","26.4841"
9,0,"34.4326","839.551","26.5028"
10,0,"34.4363","839.545","26.4961"
11,0,"34.4347","839.547","26.4864"
12,0,"34.4299","839.543","26.4925"
13,0,"34.4381","839.552","26.4641"
14,0,"34.4295","839.534","26.4941"
15,0,"34.4346","839.56","26.4808"
16,0,"34.4378","839.55","26.5015"
17,0,"34.4435","839.555","26.4822"
18,0,"34.4299","839.553","26.4826"
19,0,"34.4286","839.547","26.5133"
20,0,"34.4337","839.556","26.4929"
21,0,"34.4322","839.543","26.4971"
22,0,"34.4332","839.546","26.5041"
23,0,"34.4305","839.547","26.4936"
24,0,"34.4481","839.547","26.4618"
25,0,"34.4445","839.54","26.4726"
26,0,"34.4357","839.552","26.493"
27,0,"34.4359","839.559","26.4663"
28,0,"34.4364","839.545","26.4902"
29,0,"34.4457","839.544","26.4735"
30,0,"34.4341","839.556","26.4737"
31,0,"34.432","839.55","26.4972"
32,0,"34.4342","839.551","26.4852"
33,0,"34.4236","839.555","26.4852"
34,0,"34.4188","839.554","26.4937"
35,0,"34.446","839.538","26.4713"
36,0,"34.428","839.555","26.4784"
37,0,"34.4392","839.553","26.4913"
38,0,"34.4364","839.536","26.5029"
39,0,"34.4287","839.539","26.5121"
40,0,"34.4297","839.561","26.4864"
41,0,"34.433","839.551","26.4501"
42,0,"34.4327","839.526","26.5015"
43,0,"34.4343","839.555","26.4988"
44,0,"34.4347","839.55","26.4637"
45,0,"34.4184","839.547","26.5055"
46,0,"34.433","839.55","26.4926"
47,0,"34.437","839.548","26.4879"
48,0,"34.4231","839.556","26.4931"
49,0,"34.4277","839.55","26.489"
50,0,"34.4256","839.539","26.4754"
51,0,"34.4397","839.549","26.4745"
52,0,"34.4232","839.551","26.504"
53,0,"34.427","839.548","26.4915"
54,0,"34.4198","839.548","26.4749"
55,0,"34.4236","839.543","26.4983"
56,0,"34.5993","839.557","26.2995"
57,0,"34.4294","839.552","26.463"
58,0,"34.4351","839.553","26.4825"
59,0,"34.4271","839.56","26.4973"
60,0,"34.4215","839.554","26.4944"
61,0,"34.4203","839.565","26.4848"
62,0,"34.4336","839.559","26.4909"
63,0,"34.6063","839.561","26.311"
64,0,"34.4332","839.556","26.4958"
65,0,"34.4264","839.545","26.4931"
66,0,"34.4425","839.552","26.4929"
67,0,"34.4269","839.558","26.5086"
68,0,"34.4336","839.552","26.472"
69,0,"34.4345","839.549","26.4929"
70,0,"34.4253","839.556","26.496"
71,0,"34.4317","839.55","26.4884"
72,0,"34.4349","839.554","26.5047"
73,0,"34.4287","839.548","26.4932"
74,0,"34.4289","839.553","26.4948"
75,0,"34.4256","839.56","26.4878"
76,0,"34.6021","839.578","26.313"
77,0,"34.4289","839.561","26.4902"
78,0,"34.4404","839.551","26.4972"
79,0,"34.4498","839.552","26.4653"
80,0,"34.4358","839.563","26.484"
81,0,"34.4306","839.549","26.5058"
82,0,"34.4351","839.562","26.5024"
83,0,"34.4336","839.558","26.4897"
84,0,"34.4387","839.55","26.5113"
85,0,"34.4342","839.556","26.4586"
86,0,"34.4214","839.553","26.5145"
87,0,"34.4189","839.542","26.5131"
88,0,"34.4404","839.547","26.5005"
89,0,"34.4374","839.554","26.4728"
90,0,"34.4463","839.54","26.4643"
91,0,"34.4286","839.548","26.4812"
92,0,"34.4182","839.555","26.512"
93,0,"34.4356","839.557","26.4848"
94,0,"34.4231","839.554","26.4722"
95,0,"34.4309","839.549","26.4732"
96,0,"34.4235","839.553","26.4823"
97,0,"34.433","839.555","26.4909"
98,0,"34.4332","839.548","26.4883"
99,0,"34.4489","839.542","26.4652"
100,0,"34.4412","839.553","26.4749"
101,0,"34.4313","839.552","26.4929"
102,0,"34.4305","839.548","26.4692"
103,0,"34.4221","839.556","26.4963"
104,0,"34.4341","839.552","26.4954"
105,0,"34.4275","839.544","26.4797"
106,0,"34.4339","839.552","26.4608"
107,0,"34.4238","839.545","26.4943"
108,0,"34.4363","839.542","26.4923"
109,0,"34.4367","839.547","26.4965"
110,0,"34.4324","839.56","26.4803"
111,0,"34.4393","839.548","26.49"
112,0,"34.4273","839.563","26.5075"
113,0,"34.4288","839.548","26.4851"
114,0,"34.4294","839.534","26.5384"
115,0,"34.4351","839.553","26.4882"
116,0,"34.4261","839.555","26.4874"
117,0,"34.4287","839.546","26.4791"
118,0,"34.43","839.552","26.4863"
119,0,"34.4342","839.545","26.4851"
120,0,"34.4281","839.555","26.516"
121,0,"34.4378","839.553","26.4834"
122,0,"34.4311","839.556","26.4767"
123,0,"34.4291","839.556","26.5029"
124,0,"34.4302","839.559","26.5051"
125,0,"34.4285","839.555","26.495"
126,0,"34.4241","839.562","26.4991"
127,0,"34.4382","839.558","26.4726"
128,0,"34.4394","839.553","26.4869"
129,0,"34.4288","839.543","26.5117"
130,0,"34.4297","839.541","26.5044"
131,0,"34.4335","839.551","26.4975"
132,0,"34.4151","839.544","26.5165"
133,0,"34.4372","839.552","26.4839"
134,0,"34.4371","839.552","26.4753"
135,0,"34.4359","839.557","26.4823"
136,0,"34.4309","839.543","26.4925"
137,0,"34.4353","839.553","26.5014"
138,0,"34.4272","839.564","26.4822"
139,0,"34.4205","839.552","26.5035"
140,0,"34.4362","839.553","26.4822"
141,0,"34.4452","839.546","26.4696"
142,0,"34.6055","839.578","26.3202"
143,0,"34.4152","839.569","26.5"
144,0,"34.4344","839.56","26.4769"
145,0,"34.4236","839.552","26.5203"
146,0,"34.4183","839.56","26.4998"
147,0,"34.4381","839.542","26.5015"
