
115130976,POS,0,0FAC,0.08,-0.19,0.30,51,x0C
115130992,POS,1,C6AC,0.09,0.69,0.30,73,x0E
115131085,POS,0,0FAC,0.07,-0.24,0.38,51,x0C
115131092,POS,1,C6AC,0.10,0.70,0.25,64,x0E
115131185,POS,0,0FAC,0.07,-0.27,0.46,48,x0C
115131190,POS,1,C6AC,0.09,0.73,0.23,63,x0E
115131276,POS,0,0FAC,0.07,-0.23,0.40,63,x0C
115131293,POS,1,C6AC,0.10,0.70,0.25,70,x0E
115131385,POS,0,0FAC,0.07,-0.10,0.21,67,x0C
115131385,POS,1,C6AC,0.09,0.69,0.29,72,x0E
115131485,POS,0,0FAC,0.07,-0.02,0.05,64,x0C
115131485,POS,1,C6AC,0.09,0.70,0.29,70,x0E
115131580,POS,0,0FAC,0.06,-0.10,0.20,49,x0C
115131580,POS,1,C6AC,0.10,0.72,0.29,70,x0E
115131684,POS,0,0FAC,0.07,-0.16,0.28,54,x0C
115131684,POS,1,C6AC,0.09,0.75,0.25,63,x0E
115131776,POS,0,0FAC,0.07,-0.13,0.24,66,x0C
115131792,POS,1,C6AC,0.08,0.74,0.27,71,x0E
115131883,POS,0,0FAC,0.07,-0.05,0.09,65,x0C
115131883,POS,1,C6AC,0.08,0.76,0.22,64,x0E
115131984,POS,0,0FAC,0.06,-0.00,0.04,73,x0C
115131984,POS,1,C6AC,0.09,0.69,0.27,69,x0E
115132080,POS,0,0FAC,0.06,-0.02,0.06,62,x0C
115132080,POS,1,C6AC,0.10,0.70,0.24,64,x0E
115132176,POS,0,0FAC,0.05,-0.10,0.19,49,x0C
115132191,POS,1,C6AC,0.09,0.72,0.20,64,x0E
115132276,POS,0,0FAC,0.06,-0.17,0.30,51,x0C
115132293,POS,1,C6AC,0.09,0.72,0.23,70,x0E
115132376,POS,0,0FAC,0.07,-0.16,0.31,61,x0C
115132387,POS,1,C6AC,0.08,0.71,0.26,70,x0E
115132482,POS,0,0FAC,0.08,-0.21,0.37,52,x0C
115132482,POS,1,C6AC,0.10,0.65,0.29,67,x0E
115132583,POS,0,0FAC,0.08,-0.20,0.36,58,x0C
115132583,POS,1,C6AC,0.10,0.67,0.28,69,x0E
115132678,POS,0,0FAC,0.06,-0.23,0.43,47,x0C
115132678,POS,1,C6AC,0.09,0.70,0.24,64,x0E
115132778,POS,0,0FAC,0.06,-0.11,0.23,66,x0C
115132778,POS,1,C6AC,0.10,0.72,0.21,63,x0E
115132876,POS,0,0FAC,0.06,-0.17,0.36,48,x0C
115132889,POS,1,C6AC,0.10,0.71,0.26,74,x0E
115132986,POS,0,0FAC,0.05,-0.05,0.19,71,x0C
115132993,POS,1,C6AC,0.10,0.68,0.29,70,x0E
115133081,POS,0,0FAC,0.05,-0.13,0.30,49,x0C
115133081,POS,1,C6AC,0.10,0.66,0.29,67,x0E
115133176,POS,0,0FAC,0.05,-0.18,0.40,48,x0C
115133193,POS,1,C6AC,0.11,0.67,0.28,68,x0E
115133277,POS,0,0FAC,0.05,-0.07,0.23,71,x0C
115133292,POS,1,C6AC,0.09,0.69,0.24,65,x0E
115133378,POS,0,0FAC,0.05,-0.14,0.33,49,x0C
115133392,POS,1,C6AC,0.11,0.68,0.24,65,x0E
115133484,POS,0,0FAC,0.07,-0.21,0.36,57,x0C
115133492,POS,1,C6AC,0.11,0.70,0.21,64,x0E
115133578,POS,0,0FAC,0.06,-0.24,0.44,48,x0C
115133591,POS,1,C6AC,0.12,0.62,0.29,72,x0E
115133686,POS,0,0FAC,0.06,-0.25,0.48,49,x0C
115133695,POS,1,C6AC,0.11,0.66,0.24,64,x0E
115133785,POS,0,0FAC,0.06,-0.27,0.53,47,x0C
115133791,POS,1,C6AC,0.11,0.64,0.29,74,x0E
115133885,POS,0,0FAC,0.05,-0.29,0.58,47,x0C
115133885,POS,1,C6AC,0.10,0.68,0.24,64,x0E
115133985,POS,0,0FAC,0.05,-0.30,0.59,49,x0C
115133985,POS,1,C6AC,0.09,0.68,0.27,71,x0E
115134080,POS,0,0FAC,0.06,-0.24,0.47,96,x0C
115134080,POS,1,C6AC,0.09,0.69,0.28,70,x0E
115134178,POS,0,0FAC,0.05,-0.25,0.53,46,x0C
115134190,POS,1,C6AC,0.09,0.73,0.23,62,x0E
115134286,POS,0,0FAC,0.05,-0.18,0.40,68,x0C
115134286,POS,1,C6AC,0.09,0.71,0.26,71,x0E
115134378,POS,0,0FAC,0.07,-0.12,0.23,63,x0C
115134389,POS,1,C6AC,0.09,0.74,0.22,63,x0E
115134480,POS,0,0FAC,0.05,-0.18,0.36,47,x0C
115134480,POS,1,C6AC,0.11,0.66,0.31,75,x0E
115134578,POS,0,0FAC,0.04,-0.22,0.44,47,x0C
115134578,POS,1,C6AC,0.11,0.68,0.30,67,x0E
115134681,POS,0,0FAC,0.05,-0.12,0.24,65,x0C
115134681,POS,1,C6AC,0.10,0.69,0.25,65,x0E
115134784,POS,0,0FAC,0.04,-0.17,0.35,48,x0C
115134790,POS,1,C6AC,0.09,0.69,0.29,73,x0E
115134881,POS,0,0FAC,0.04,-0.22,0.41,51,x0C
115134889,POS,1,C6AC,0.10,0.68,0.30,71,x0E
