Frame,Sub Frame,"Position - TelloUWB22",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"-18.5306","-0.564677","36.523"
2,0,"-18.5754","-0.62029","36.6607"
3,0,"-18.5276","-0.564996","36.5207"
4,0,"-18.5756","-0.620532","36.6764"
5,0,"-18.5296","-0.553186","36.5277"
6,0,"-18.5266","-0.554087","36.5258"
7,0,"-18.5654","-0.626707","36.665"
8,0,"-18.5711","-0.622795","36.6607"
9,0,"-18.5357","-0.554861","36.5247"
10,0,"-18.5635","-0.619933","36.6478"
11,0,"-18.5734","-0.616595","36.6595"
12,0,"-18.5335","-0.552386","36.5328"
13,0,"-18.5223","-0.565217","36.5263"
14,0,"-18.5294","-0.555453","36.5215"
15,0,"-18.5312","-0.560011","36.5236"
16,0,"-18.5335","-0.557646","36.5342"
17,0,"-18.524","-0.565507","36.5208"
18,0,"-18.4318","-0.591372","36.6548"
19,0,"-18.5682","-0.622643","36.6619"
20,0,"-18.5333","-0.554117","36.5349"
21,0,"-18.5294","-0.557762","36.5356"
22,0,"-18.525","-0.566143","36.5305"
23,0,"-18.5764","-0.620993","36.6684"
24,0,"-18.5247","-0.560193","36.5279"
25,0,"-18.5723","-0.621207","36.6654"
26,0,"-18.5232","-0.545899","36.5099"
27,0,"-18.5268","-0.559218","36.5308"
28,0,"-18.578","-0.620218","36.6541"
29,0,"-18.5309","-0.558645","36.5197"
30,0,"-18.4429","-0.596616","36.6509"
31,0,"-18.5195","-0.561476","36.5272"
32,0,"-18.5229","-0.558882","36.5235"
33,0,"-18.5238","-0.555162","36.5317"
34,0,"-18.5262","-0.552089","36.5168"
35,0,"-18.5251","-0.561561","36.5252"
36,0,"-18.53","-0.56093","36.5179"
37,0,"-18.5726","-0.629661","36.6685"
38,0,"-18.5325","-0.557168","36.5375"
39,0,"-18.5305","-0.565055","36.5353"
40,0,"-18.5275","-0.558102","36.5435"
41,0,"-18.5292","-0.546463","36.5137"
42,0,"-18.577","-0.620528","36.6686"
43,0,"-18.5316","-0.554605","36.5112"
44,0,"-18.5561","-0.625458","36.6567"
45,0,"-18.5338","-0.563261","36.5321"
46,0,"-18.5233","-0.562287","36.5183"
47,0,"-18.5304","-0.559069","36.5285"
48,0,"-18.5323","-0.554446","36.5159"
49,0,"-18.5238","-0.562733","36.5353"
50,0,"-18.5283","-0.553966","36.5368"
51,0,"-18.5309","-0.562756","36.5213"
52,0,"-18.5264","-0.556294","36.5167"
53,0,"-18.5312","-0.558195","36.5288"
54,0,"-18.5678","-0.625774","36.6779"
55,0,"-18.5384","-0.560431","36.5228"
56,0,"-18.5771","-0.622934","36.6643"
57,0,"-18.5346","-0.557519","36.5146"
58,0,"-18.522","-0.552871","36.5331"
59,0,"-18.533","-0.564888","36.5169"
60,0,"-18.5278","-0.559589","36.5219"
61,0,"-18.5303","-0.558151","36.5154"
62,0,"-18.429","-0.600491","36.649"
63,0,"-18.5253","-0.550154","36.5385"
64,0,"-18.5359","-0.55138","36.5233"
65,0,"-18.5286","-0.565146","36.5186"
66,0,"-18.5143","-0.562388","36.5162"
67,0,"-18.5297","-0.552438","36.5072"
68,0,"-18.5296","-0.562521","36.5253"
69,0,"-18.5258","-0.564405","36.5127"
70,0,"-18.5638","-0.616664","36.6512"
71,0,"-18.5173","-0.553946","36.5213"
72,0,"-18.5326","-0.561423","36.5318"
73,0,"-18.5196","-0.557572","36.5116"
74,0,"-18.5282","-0.550678","36.5253"
75,0,"-18.5768","-0.62254","36.6587"
76,0,"-18.4733","-0.657712","36.7914"
77,0,"-18.5317","-0.556606","36.5286"
78,0,"-18.5704","-0.61971","36.6592"
79,0,"-18.5921","-0.619626","36.6615"
80,0,"-18.5273","-0.561915","36.5281"
81,0,"-18.5314","-0.554134","36.5145"
82,0,"-18.5376","-0.562797","36.5317"
83,0,"-18.5748","-0.622505","36.6633"
84,0,"-18.5303","-0.55441","36.5088"
85,0,"-18.5691","-0.620206","36.6547"
86,0,"-18.5328","-0.556143","36.5315"
87,0,"-18.527","-0.555792","36.5292"
88,0,"-18.5312","-0.560553","36.5324"
89,0,"-18.5309","-0.55415","36.5171"
90,0,"-18.5267","-0.569605","36.5287"
91,0,"-18.5121","-0.557581","36.5303"
92,0,"-18.5327","-0.559348","36.5308"
93,0,"-18.5287","-0.553901","36.5248"
94,0,"-18.5698","-0.617098","36.6696"
95,0,"-18.5244","-0.560264","36.5258"
96,0,"-18.5276","-0.564354","36.5254"
97,0,"-18.5339","-0.556313","36.5254"
98,0,"-18.5252","-0.556407","36.5149"
99,0,"-18.5295","-0.561371","36.5272"
100,0,"-18.5254","-0.547658","36.5329"
101,0,"-18.5711","-0.622989","36.6639"
102,0,"-18.5283","-0.55353","36.5202"
103,0,"-18.5621","-0.627172","36.654"
104,0,"-18.5222","-0.554937","36.528"
105,0,"-18.5649","-0.614769","36.6702"
106,0,"-18.5248","-0.550659","36.526"
107,0,"-18.521","-0.557313","36.5293"
108,0,"-18.5194","-0.551015","36.5228"
109,0,"-18.5225","-0.552562","36.5165"
110,0,"-18.5194","-0.552978","36.5191"
111,0,"-18.5673","-0.623671","36.6537"
112,0,"-18.5178","-0.55845","36.5243"
113,0,"-18.5263","-0.560268","36.5314"
114,0,"-18.5356","-0.554994","36.532"
115,0,"-18.522","-0.542451","36.5311"
116,0,"-18.5351","-0.557903","36.5255"
117,0,"-18.5279","-0.554488","36.5365"
118,0,"-18.5279","-0.555536","36.5226"
119,0,"-18.5263","-0.547804","36.5301"
120,0,"-18.5686","-0.614856","36.6779"
121,0,"-18.5298","-0.55316","36.5103"
122,0,"-18.5302","-0.553076","36.5392"
123,0,"-18.5726","-0.617871","36.6609"
124,0,"-18.4327","-0.603828","36.6571"
125,0,"-18.5307","-0.548252","36.5155"
126,0,"-18.5161","-0.55518","36.522"
127,0,"-18.5213","-0.554206","36.5375"
