Frame,Sub Frame,"Rotation (Helical) - TelloUWB22",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"1.30579","7.69209","168.257"
2,0,"1.26649","7.7063","168.242"
3,0,"1.52351","7.37989","168.226"
4,0,"1.36259","7.68728","168.203"
5,0,"1.34342","7.61329","168.225"
6,0,"1.36323","7.60396","168.24"
7,0,"1.35621","7.64896","168.213"
8,0,"1.36017","7.65738","168.213"
9,0,"1.34738","7.62545","168.23"
10,0,"1.34629","7.80199","168.223"
11,0,"1.38918","7.70841","168.207"
12,0,"1.33589","7.64881","168.215"
13,0,"1.34556","7.61377","168.238"
14,0,"1.31651","7.65648","168.223"
15,0,"1.42201","7.72226","168.196"
16,0,"1.4689","7.49333","168.247"
17,0,"1.53755","7.60895","168.212"
18,0,"1.29773","7.71063","168.242"
19,0,"1.27605","7.70601","168.241"
20,0,"1.35443","7.61904","168.227"
21,0,"1.36352","7.65611","168.222"
22,0,"1.31751","7.61586","168.214"
23,0,"1.7242","7.3993","168.335"
24,0,"1.34258","7.64248","168.227"
25,0,"1.35432","7.64614","168.227"
26,0,"1.31816","7.17738","168.386"
27,0,"1.4074","7.72974","168.205"
28,0,"1.29795","7.70316","168.254"
29,0,"1.4413","7.48961","168.239"
30,0,"1.38028","7.69712","168.206"
31,0,"1.3618","7.61884","168.228"
32,0,"1.3212","7.63531","168.228"
33,0,"1.52984","7.61164","168.217"
34,0,"1.41086","7.69189","168.207"
35,0,"1.33377","7.62447","168.206"
36,0,"1.42254","7.7026","168.209"
37,0,"1.29676","7.6828","168.241"
38,0,"1.3387","7.60933","168.235"
39,0,"1.35152","7.6477","168.222"
40,0,"1.38316","7.70535","168.203"
41,0,"1.57198","7.5111","168.191"
42,0,"1.33981","7.63484","168.245"
43,0,"1.28838","7.69767","168.25"
44,0,"1.37059","7.65821","168.224"
45,0,"1.52583","7.45424","168.211"
46,0,"1.38631","7.6513","168.22"
47,0,"1.29684","7.7464","168.233"
48,0,"1.36667","7.6524","168.207"
49,0,"1.34659","7.78086","168.227"
50,0,"1.35451","7.64539","168.229"
51,0,"1.3728","7.62372","168.231"
52,0,"1.34692","7.69278","168.259"
53,0,"1.35719","7.61458","168.232"
54,0,"1.49572","7.41108","168.225"
55,0,"1.34427","7.62276","168.234"
56,0,"1.33275","7.72548","168.223"
57,0,"1.33208","7.72673","168.219"
58,0,"1.36644","7.65331","168.234"
59,0,"1.40966","7.71231","168.193"
60,0,"1.39117","7.67735","168.206"
61,0,"1.43805","7.70611","168.214"
62,0,"1.36192","7.78625","168.217"
63,0,"1.34366","7.63635","168.226"
64,0,"1.30879","7.68405","168.256"
65,0,"1.37453","7.61546","168.239"
66,0,"1.29871","7.6977","168.251"
67,0,"1.17545","7.39487","168.377"
68,0,"1.30443","7.7053","168.245"
69,0,"1.34662","7.60623","168.224"
70,0,"1.49503","7.41644","168.225"
71,0,"1.3376","7.64973","168.221"
72,0,"1.49892","7.5025","168.247"
73,0,"1.32866","7.71156","168.243"
74,0,"1.53237","7.40394","168.234"
75,0,"1.33065","7.69178","168.25"
76,0,"1.35806","7.6578","168.216"
77,0,"1.34006","7.64112","168.228"
78,0,"1.30036","7.70957","168.236"
79,0,"1.34678","7.62884","168.21"
80,0,"1.35055","7.64119","168.224"
81,0,"1.3725","7.66506","168.218"
82,0,"1.35248","7.65721","168.229"
83,0,"1.29858","7.68701","168.25"
84,0,"1.14889","7.41963","168.371"
85,0,"1.49827","7.48899","168.249"
86,0,"1.31742","7.70576","168.251"
87,0,"1.32609","7.70382","168.256"
88,0,"1.51362","7.42544","168.219"
89,0,"1.31862","7.69531","168.257"
90,0,"1.35826","7.65713","168.216"
91,0,"1.53277","7.41635","168.22"
92,0,"1.34509","7.62612","168.236"
93,0,"1.35555","7.64687","168.212"
94,0,"1.37187","7.63733","168.224"
95,0,"1.33001","7.75296","168.236"
96,0,"1.36208","7.63445","168.223"
97,0,"1.34679","7.62695","168.225"
98,0,"1.34762","7.65518","168.203"
