Frame,Sub Frame,"Rotation (Helical) - TelloUWB11",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"2.56504","1.19468","2.41907"
2,0,"2.60669","1.16846","2.41785"
3,0,"2.59849","1.18212","2.41976"
4,0,"2.64105","1.22066","2.49217"
5,0,"2.60143","1.17041","2.41762"
6,0,"2.60738","1.17874","2.42257"
7,0,"2.62527","1.14869","2.43135"
8,0,"0.780121","2.51589","2.193"
9,0,"2.59729","1.1709","2.42139"
10,0,"2.59636","1.17271","2.42837"
11,0,"2.5948","1.18598","2.42088"
12,0,"2.61624","1.15728","2.43049"
13,0,"2.61006","1.16002","2.42806"
14,0,"2.63467","1.21255","2.49874"
15,0,"2.6111","1.15352","2.42601"
16,0,"1.0549","2.32311","2.1927"
17,0,"2.5551","1.21548","2.41318"
18,0,"2.6333","1.15581","2.43166"
19,0,"2.63879","1.14127","2.43095"
20,0,"2.64969","1.20702","2.49432"
21,0,"2.61902","1.16731","2.42461"
22,0,"2.60202","1.17474","2.41802"
23,0,"2.5682","1.19913","2.42439"
24,0,"2.58601","1.17106","2.41661"
25,0,"2.552","1.1996","2.41488"
26,0,"2.62183","1.15958","2.43067"
27,0,"2.5932","1.16745","2.41945"
28,0,"2.61385","1.16966","2.42687"
29,0,"2.65484","1.21856","2.49319"
30,0,"2.64504","1.1535","2.43098"
31,0,"2.60141","1.18193","2.42191"
32,0,"0.752127","2.54469","2.19665"
33,0,"2.61528","1.17888","2.42277"
34,0,"2.56676","1.18249","2.42193"
35,0,"2.62394","1.16618","2.42374"
36,0,"2.60522","1.15299","2.42347"
37,0,"2.57968","1.18206","2.42642"
38,0,"2.59712","1.17133","2.43139"
39,0,"0.743033","2.6573","2.2146"
40,0,"2.6128","1.17022","2.42516"
41,0,"2.6113","1.17345","2.42749"
42,0,"2.61113","1.16594","2.43365"
43,0,"2.57134","1.20581","2.42637"
44,0,"2.63799","1.15562","2.43121"
45,0,"2.60294","1.17084","2.42195"
46,0,"2.64862","1.21933","2.5016"
47,0,"2.60463","1.16893","2.43056"
48,0,"2.6047","1.16172","2.42801"
49,0,"2.59357","1.27698","2.44747"
50,0,"2.61521","1.17545","2.41791"
51,0,"2.57116","1.1937","2.41903"
52,0,"2.584","1.18447","2.41958"
53,0,"2.58188","1.20901","2.41892"
54,0,"2.60234","1.19853","2.41316"
55,0,"2.61545","1.15745","2.42161"
56,0,"2.6058","1.16862","2.42123"
57,0,"2.60698","1.17248","2.43342"
58,0,"2.60577","1.1874","2.42969"
59,0,"2.59851","1.18019","2.42862"
60,0,"2.63094","1.1716","2.42686"
61,0,"2.58481","1.1833","2.42071"
62,0,"0.724194","2.58574","2.20262"
63,0,"2.58485","1.19495","2.42697"
64,0,"0.76425","2.55829","2.19762"
65,0,"2.57741","1.18516","2.42546"
66,0,"2.63772","1.14675","2.42149"
67,0,"2.61923","1.16628","2.42259"
68,0,"2.59633","1.19","2.42019"
69,0,"2.60762","1.18844","2.42401"
70,0,"2.55497","1.22651","2.41676"
71,0,"2.59768","1.19776","2.42357"
72,0,"2.61214","1.17813","2.42154"
73,0,"2.60872","1.18455","2.42413"
74,0,"2.5613","1.21612","2.41817"
75,0,"2.65902","1.14103","2.43347"
76,0,"2.61262","1.19065","2.42462"
77,0,"2.6078","1.17551","2.41974"
78,0,"2.60708","1.17859","2.42511"
79,0,"2.66296","1.14887","2.43454"
80,0,"2.6151","1.17369","2.43058"
81,0,"2.60561","1.18062","2.42024"
82,0,"2.59427","1.19068","2.42395"
83,0,"2.61342","1.2886","2.45111"
84,0,"2.61908","1.17432","2.42172"
85,0,"2.58503","1.19765","2.41917"
86,0,"2.59903","1.20711","2.42625"
87,0,"2.60129","1.17242","2.42453"
88,0,"2.60669","1.17343","2.42781"
89,0,"2.57698","1.1967","2.42238"
90,0,"2.61277","1.26732","2.44692"
91,0,"0.752706","2.55874","2.19834"
92,0,"2.59108","1.18795","2.41258"
93,0,"2.61496","1.17193","2.42104"
94,0,"2.57507","1.20536","2.4095"
