124835639,=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2025.11.03 12:48:35 =~=~=~=~=~=~=~=~=~=~=~=
124835639,POS,0,C6AC,0.88,-0.12,1.07,68,x06
124835649,POS,1,0FAC,0.72,0.89,0.77,63,x07
124835738,POS,0,C6AC,0.87,-0.09,1.05,76,x06
124835746,POS,1,0FAC,0.71,0.89,0.87,67,x07
124835839,POS,0,C6AC,0.87,-0.07,1.03,74,x06
124835846,POS,1,0FAC,0.71,0.88,0.96,65,x07
124835938,POS,0,C6AC,0.86,-0.05,1.01,77,x06
124835945,POS,1,0FAC,0.70,0.88,1.02,65,x07
124836039,POS,0,C6AC,0.86,-0.04,1.02,72,x06
124836045,POS,1,0FAC,0.69,0.87,1.05,70,x07
124836139,POS,0,C6AC,0.85,-0.04,0.99,77,x06
124836144,POS,1,0FAC,0.69,0.86,1.10,65,x07
124836238,POS,0,C6AC,0.84,-0.04,0.98,75,x06
124836244,POS,1,0FAC,0.69,0.86,1.13,65,x07
124836338,POS,0,C6AC,0.84,0.00,0.84,83,x06
124836344,POS,1,0FAC,0.70,0.87,0.88,75,x07
124836439,POS,0,C6AC,0.84,-0.01,0.90,71,x06
124836443,POS,1,0FAC,0.71,0.87,0.96,65,x07
124836537,POS,0,C6AC,0.84,-0.02,0.93,72,x06
124836542,POS,1,0FAC,0.69,0.86,1.02,69,x07
124836639,POS,0,C6AC,0.86,-0.01,0.93,76,x06
124836642,POS,1,0FAC,0.70,0.85,1.08,62,x07
124836738,POS,0,C6AC,0.85,-0.01,1.00,67,x06
124836742,POS,1,0FAC,0.69,0.84,1.12,66,x07
124836839,POS,0,C6AC,0.87,0.04,0.75,67,x06
124836842,POS,1,0FAC,0.69,0.85,1.14,66,x07
124836939,POS,0,C6AC,0.89,-0.02,0.86,57,x06
124836941,POS,1,0FAC,0.69,0.85,1.15,67,x07
124837038,POS,0,C6AC,0.90,-0.01,0.89,74,x06
124837044,POS,1,0FAC,0.69,0.84,1.17,65,x07
124837138,POS,0,C6AC,0.89,-0.01,0.93,73,x06
124837144,POS,1,0FAC,0.71,0.86,0.91,74,x07
124837239,POS,0,C6AC,0.89,-0.01,0.94,74,x06
124837245,POS,1,0FAC,0.70,0.86,1.01,62,x07
124837339,POS,0,C6AC,0.85,-0.01,0.98,74,x06
124837345,POS,1,0FAC,0.70,0.85,1.08,61,x07
124837438,POS,0,C6AC,0.84,-0.02,1.03,68,x06
124837444,POS,1,0FAC,0.71,0.85,1.12,64,x07
124837539,POS,0,C6AC,0.84,0.03,1.04,80,x06
124837545,POS,1,0FAC,0.70,0.85,1.13,68,x07
124837638,POS,0,C6AC,0.84,0.02,1.01,77,x06
124837644,POS,1,0FAC,0.70,0.85,1.17,62,x07
124837738,POS,0,C6AC,0.85,0.01,1.03,70,x06
124837744,POS,1,0FAC,0.69,0.84,1.19,65,x07
124837838,POS,0,C6AC,0.85,0.03,0.87,81,x06
124837843,POS,1,0FAC,0.69,0.84,1.22,61,x07
124837939,POS,0,C6AC,0.87,0.02,0.91,71,x06
124837944,POS,1,0FAC,0.71,0.88,0.91,66,x07
124838038,POS,0,C6AC,0.85,-0.00,0.98,67,x06
124838044,POS,1,0FAC,0.70,0.87,0.99,66,x07
124838138,POS,0,C6AC,0.85,0.02,0.85,82,x06
124838144,POS,1,0FAC,0.70,0.86,1.04,68,x07
124838237,POS,0,C6AC,0.86,0.01,0.91,69,x06
124838245,POS,1,0FAC,0.70,0.87,1.06,66,x07
124838339,POS,0,C6AC,0.88,0.05,0.68,65,x06
124838342,POS,1,0FAC,0.70,0.87,1.10,65,x07
124838438,POS,0,C6AC,0.87,0.04,0.73,78,x06
124838444,POS,1,0FAC,0.72,0.89,0.86,74,x07
124838539,POS,0,C6AC,0.93,-0.09,0.87,50,x06
124838545,POS,1,0FAC,0.71,0.88,0.95,65,x07
124838639,POS,0,C6AC,0.92,-0.05,0.74,79,x06
124838645,POS,1,0FAC,0.71,0.85,0.62,66,x07
124838739,POS,0,C6AC,0.89,-0.02,0.67,82,x06
124838745,POS,1,0FAC,0.71,0.84,0.79,60,x07
124838839,POS,0,C6AC,0.88,-0.02,0.80,67,x06
124838843,POS,1,0FAC,0.73,0.87,0.59,68,x07
124838939,POS,0,C6AC,0.87,-0.02,0.83,75,x06
