Frame,Sub Frame,"Rotation (Helical) - TelloUWB11",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"3.06047","3.78279","1.60358"
2,0,"2.99375","3.67893","1.57613"
3,0,"3.01152","3.65168","1.57679"
4,0,"2.43414","4.21881","1.50953"
5,0,"2.41754","4.08714","1.47625"
6,0,"2.4181","4.08365","1.46963"
7,0,"3.03831","3.63941","1.57849"
8,0,"3.02832","3.80749","1.59888"
9,0,"3.00506","3.66285","1.56503"
10,0,"2.42412","4.09417","1.46318"
11,0,"2.40087","4.0632","1.48024"
12,0,"3.0022","3.80849","1.60926"
13,0,"2.499","4.30124","1.55699"
14,0,"3.03045","3.80034","1.5983"
15,0,"3.06303","3.79039","1.59216"
16,0,"3.01646","3.79697","1.60269"
17,0,"3.0296","3.79883","1.59319"
18,0,"3.00216","3.64869","1.57201"
19,0,"3.05414","3.88511","1.64517"
20,0,"2.42817","4.21259","1.50775"
21,0,"3.04802","3.77027","1.61266"
22,0,"2.38464","4.22316","1.5211"
23,0,"3.04889","3.88242","1.64574"
24,0,"3.02612","3.80116","1.59883"
25,0,"3.03514","3.71093","1.62866"
26,0,"3.0423","3.78743","1.59497"
27,0,"2.38181","4.08829","1.47285"
28,0,"3.04453","3.77073","1.59854"
29,0,"3.09149","3.86431","1.64536"
30,0,"3.05118","3.71694","1.6154"
31,0,"3.05819","3.79736","1.59819"
32,0,"3.01333","3.64644","1.56858"
33,0,"3.01565","3.63994","1.57926"
34,0,"3.0059","3.62097","1.57577"
35,0,"3.018","3.77544","1.60932"
36,0,"3.03312","3.88562","1.63523"
37,0,"3.02238","3.81175","1.59575"
38,0,"3.07269","3.70569","1.62567"
39,0,"3.00447","3.73756","1.61885"
40,0,"3.00393","3.80558","1.59505"
41,0,"3.17871","3.46382","1.71263"
42,0,"2.98928","3.74136","1.61478"
43,0,"3.02979","3.88625","1.64214"
44,0,"3.06644","3.86671","1.65056"
45,0,"3.01046","3.65179","1.56904"
46,0,"3.03969","3.62292","1.58103"
47,0,"3.0385","3.72255","1.62039"
48,0,"3.00269","3.64339","1.56988"
49,0,"3.04047","3.78534","1.60261"
50,0,"2.99486","3.66475","1.56673"
51,0,"3.01143","3.64132","1.58546"
52,0,"3.03077","3.87271","1.64872"
53,0,"3.04883","3.90011","1.63087"
54,0,"2.98934","3.74565","1.61884"
55,0,"2.38543","4.08801","1.47309"
56,0,"3.02846","3.79193","1.5906"
57,0,"3.11322","3.86909","1.64233"
58,0,"3.0422","3.88418","1.64737"
59,0,"2.98052","3.6616","1.58234"
60,0,"3.02611","3.78496","1.59922"
61,0,"3.03941","3.89805","1.63815"
62,0,"3.06876","3.86303","1.65348"
63,0,"3.03115","3.70779","1.62792"
64,0,"2.99195","3.7209","1.61832"
65,0,"2.42279","4.15374","1.51918"
66,0,"3.01238","3.62999","1.58266"
67,0,"2.43967","4.16347","1.51894"
68,0,"3.05223","3.88011","1.65573"
69,0,"2.45332","4.29532","1.55859"
70,0,"3.02552","3.64967","1.56949"
71,0,"3.0907","3.86486","1.64855"
72,0,"2.48324","4.29609","1.55357"
73,0,"3.03274","3.78782","1.60126"
74,0,"3.08805","3.88387","1.64103"
75,0,"3.07011","3.87544","1.65714"
76,0,"3.08379","3.72527","1.6139"
77,0,"3.02101","3.63369","1.57756"
78,0,"2.44892","4.32575","1.54835"
79,0,"3.01077","3.64139","1.57563"
80,0,"2.48039","4.30681","1.55671"
81,0,"3.03776","3.79866","1.59823"
82,0,"3.03673","3.746","1.6182"
83,0,"3.03983","3.87267","1.65068"
84,0,"2.37728","4.15388","1.53102"
85,0,"3.04191","3.79499","1.59722"
86,0,"2.45922","4.20481","1.50666"
87,0,"3.02992","3.78581","1.61023"
88,0,"2.99267","3.73458","1.6169"
89,0,"3.01904","3.90364","1.64716"
90,0,"3.00576","3.81112","1.59861"
91,0,"3.05361","3.88587","1.65013"
92,0,"3.02471","3.79675","1.59333"
93,0,"3.01513","3.65235","1.56948"
94,0,"3.03426","3.90434","1.64979"
