Frame,Sub Frame,"Rotation (Helical) - TelloUWB11",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
137,0,"-0.734058","1.68901","-5.33918"
138,0,"-0.76248","1.70791","-5.34915"
139,0,"-0.809421","1.61788","-5.40882"
140,0,"-0.703947","1.66018","-5.34186"
141,0,"-0.281401","1.34719","-5.4832"
142,0,"-0.715798","1.66841","-5.32508"
143,0,"-0.687008","1.65337","-5.33248"
144,0,"-0.740545","1.70303","-5.33645"
145,0,"-0.903289","1.70377","-5.43111"
146,0,"-0.850568","1.66772","-5.43054"
147,0,"-0.801758","1.63121","-5.41465"
148,0,"-0.292105","1.34724","-5.48764"
149,0,"-0.795718","1.72954","-5.35525"
150,0,"-0.718286","1.68972","-5.3405"
151,0,"-0.801333","1.75256","-5.36006"
152,0,"-0.690619","1.65164","-5.32587"
153,0,"-0.679558","1.64827","-5.32377"
154,0,"-0.259984","1.33092","-5.4736"
155,0,"-0.278543","1.34436","-5.48597"
156,0,"-0.433317","1.32501","-5.57077"
157,0,"-0.814645","1.63468","-5.41034"
158,0,"-0.23762","1.30956","-5.47976"
159,0,"-0.353851","1.26601","-5.55227"
160,0,"-0.772867","1.72548","-5.35549"
161,0,"-0.803114","1.62726","-5.41696"
162,0,"-0.874655","1.67875","-5.42467"
163,0,"-0.785402","1.74276","-5.35295"
164,0,"-0.710426","1.65302","-5.3293"
165,0,"-0.730072","1.6824","-5.34351"
166,0,"-0.688261","1.65232","-5.32659"
167,0,"-0.678742","1.64442","-5.32418"
168,0,"-0.709596","1.67905","-5.33754"
169,0,"-0.680723","1.6445","-5.32617"
170,0,"-0.729102","1.6955","-5.3445"
171,0,"-0.242261","1.30761","-5.46541"
172,0,"-0.712796","1.67422","-5.33312"
173,0,"-0.687675","1.66083","-5.33111"
174,0,"-0.872284","1.68067","-5.42753"
175,0,"-0.806845","1.62234","-5.41653"
176,0,"-0.266847","1.33007","-5.47866"
177,0,"-0.712622","1.67252","-5.33421"
178,0,"-0.740125","1.69422","-5.33153"
179,0,"-0.669505","1.6451","-5.32522"
180,0,"-0.724585","1.69387","-5.33563"
181,0,"-0.267573","1.338","-5.46863"
182,0,"-0.68893","1.66127","-5.33466"
183,0,"-0.728466","1.69967","-5.33889"
184,0,"-0.675698","1.65308","-5.33151"
185,0,"-0.821269","1.63504","-5.40786"
186,0,"-0.240855","1.31417","-5.47524"
187,0,"-0.305103","1.35544","-5.49265"
188,0,"-0.68879","1.6538","-5.34386"
189,0,"-0.252653","1.33523","-5.45871"
190,0,"-0.699952","1.66564","-5.33459"
191,0,"-0.689673","1.66216","-5.33274"
192,0,"-0.729568","1.68407","-5.33787"
193,0,"-0.248965","1.32612","-5.47225"
194,0,"-0.801688","1.63588","-5.39549"
195,0,"-0.291427","1.35063","-5.486"
196,0,"-0.23685","1.31791","-5.47244"
197,0,"-0.691428","1.64671","-5.33162"
198,0,"-0.708973","1.68437","-5.33181"
199,0,"-0.68502","1.65817","-5.32609"
200,0,"-0.356323","1.26586","-5.56188"
201,0,"-0.289692","1.34209","-5.48954"
202,0,"-0.690806","1.65465","-5.32257"
203,0,"-0.678883","1.65114","-5.33069"
204,0,"-0.32502","1.38575","-5.49704"
205,0,"-0.79289","1.62782","-5.40933"
206,0,"-0.897425","1.6957","-5.42665"
207,0,"-0.364768","1.2776","-5.56247"
208,0,"-0.73299","1.68747","-5.33338"
209,0,"-0.678064","1.65151","-5.33269"
210,0,"-0.81609","1.6386","-5.40517"
211,0,"-0.236152","1.32275","-5.47075"
212,0,"-0.727427","1.6899","-5.3416"
213,0,"-0.696421","1.66006","-5.33859"
214,0,"-0.713607","1.6776","-5.34278"
215,0,"-0.785271","1.61558","-5.40287"
216,0,"-0.273579","1.33177","-5.48024"
217,0,"-0.799875","1.63722","-5.41617"
218,0,"-0.746954","1.71043","-5.34645"
219,0,"-0.253347","1.31628","-5.4814"
220,0,"-0.66785","1.63636","-5.33017"
221,0,"-0.303382","1.36845","-5.48665"
222,0,"-0.708575","1.68045","-5.33939"
223,0,"-0.415432","1.32438","-5.56902"
224,0,"-0.706056","1.67414","-5.32004"
225,0,"-0.392659","1.30586","-5.56529"
226,0,"-0.795395","1.62602","-5.41153"
227,0,"-0.83496","1.64592","-5.41202"
228,0,"-0.379608","1.29533","-5.5677"
229,0,"-0.713278","1.67402","-5.32735"
230,0,"-0.738837","1.69912","-5.34512"
231,0,"-0.254791","1.33124","-5.46666"
232,0,"-0.684514","1.65844","-5.3326"
233,0,"-0.871218","1.68071","-5.42162"
234,0,"-0.841063","1.65275","-5.41418"
235,0,"-0.684798","1.64945","-5.32347"
236,0,"-0.678975","1.65949","-5.31613"
237,0,"-0.758619","1.73356","-5.34987"
238,0,"-0.28464","1.35692","-5.48743"
239,0,"-0.317368","1.37801","-5.4772"
240,0,"-0.684656","1.66148","-5.31807"
241,0,"-0.23141","1.30652","-5.47588"
242,0,"-0.68874","1.66162","-5.32392"
243,0,"-0.728691","1.68553","-5.33907"
244,0,"-0.418218","1.33248","-5.58013"
245,0,"-0.774371","1.73761","-5.36305"
246,0,"-0.836098","1.65813","-5.4188"
247,0,"-0.234517","1.31329","-5.47039"
248,0,"-0.717718","1.68229","-5.33841"
249,0,"-0.750248","1.70997","-5.34293"
250,0,"-0.709195","1.66024","-5.31779"
251,0,"-0.813835","1.64245","-5.39674"
252,0,"-0.214932","1.31172","-5.46895"
253,0,"-0.320039","1.40048","-5.49939"
254,0,"-0.827387","1.65154","-5.41628"
255,0,"-0.747845","1.71698","-5.34281"
256,0,"-0.740301","1.69584","-5.34146"
257,0,"-0.280766","1.3569","-5.47693"
258,0,"-0.683284","1.65229","-5.33451"
259,0,"-0.677327","1.6535","-5.33062"
260,0,"-0.24807","1.31904","-5.46748"
261,0,"-0.724472","1.6979","-5.33576"
262,0,"-0.813884","1.62944","-5.40708"
263,0,"-0.840282","1.66801","-5.41559"
264,0,"-0.811344","1.6308","-5.40279"
265,0,"-0.288724","1.35835","-5.4929"
266,0,"-0.687164","1.65838","-5.33104"
267,0,"-0.249072","1.32425","-5.47438"
268,0,"-0.263649","1.34435","-5.48388"
269,0,"-0.726138","1.67862","-5.33406"
270,0,"-0.732022","1.69224","-5.33868"
271,0,"-0.689089","1.66227","-5.33026"
272,0,"-0.679577","1.64345","-5.32561"
273,0,"-0.707657","1.66434","-5.33702"
274,0,"-0.398239","1.30624","-5.56444"
275,0,"-0.677301","1.65955","-5.32123"
276,0,"-0.68232","1.65094","-5.32176"
277,0,"-0.245983","1.32566","-5.47674"
278,0,"-0.739561","1.69657","-5.34001"
279,0,"-0.710295","1.68991","-5.33242"
280,0,"-0.710228","1.6716","-5.34458"
281,0,"-0.723172","1.68513","-5.33608"
282,0,"-0.701565","1.66178","-5.32396"
283,0,"-0.238428","1.32709","-5.47439"
284,0,"-0.306393","1.35917","-5.48591"
285,0,"-0.766857","1.73659","-5.35087"
286,0,"-0.26317","1.33573","-5.46797"
287,0,"-0.714182","1.67084","-5.32867"
288,0,"-0.826697","1.65228","-5.41335"
289,0,"-0.808597","1.63435","-5.40485"
290,0,"-0.810703","1.62073","-5.41066"
291,0,"-0.222171","1.30118","-5.48372"
292,0,"-0.674894","1.65627","-5.33383"
293,0,"-0.297139","1.36388","-5.48622"
294,0,"-0.303379","1.36662","-5.49236"
295,0,"-0.704368","1.66375","-5.3378"
296,0,"-0.263313","1.3283","-5.48598"
297,0,"-0.754013","1.7125","-5.34318"
298,0,"-0.262303","1.32905","-5.47041"
299,0,"-0.659894","1.63815","-5.33335"
300,0,"-0.743353","1.69825","-5.34464"
301,0,"-0.725157","1.68568","-5.34122"
302,0,"-0.678043","1.64145","-5.33095"
303,0,"-0.676179","1.65181","-5.33916"
304,0,"-0.246832","1.32331","-5.47238"
305,0,"-0.221785","1.31189","-5.46846"
306,0,"-0.739242","1.70048","-5.34244"
307,0,"-0.345975","1.27582","-5.55838"
308,0,"-0.24395","1.31579","-5.46467"
309,0,"-0.858033","1.65599","-5.42285"
310,0,"-0.731166","1.69352","-5.33683"
311,0,"-0.276149","1.35013","-5.48315"
312,0,"-0.244116","1.3227","-5.47501"
313,0,"-0.672703","1.63231","-5.34241"
314,0,"-0.704272","1.67562","-5.33463"
315,0,"-0.73251","1.69156","-5.34002"
316,0,"-0.239604","1.31457","-5.47392"
317,0,"-0.815737","1.64114","-5.41173"
318,0,"-0.756418","1.71581","-5.34201"
319,0,"-0.69552","1.65727","-5.3346"
320,0,"-0.781933","1.73078","-5.34742"
321,0,"-0.721034","1.68133","-5.32938"
322,0,"-0.69324","1.66797","-5.3305"
323,0,"-0.258807","1.34215","-5.47538"
324,0,"-0.833186","1.65617","-5.40391"
325,0,"-0.681348","1.66086","-5.33575"
326,0,"-0.245609","1.32497","-5.47601"
327,0,"-0.67723","1.65991","-5.32479"
328,0,"-0.226849","1.3116","-5.46524"
329,0,"-0.250482","1.33846","-5.46494"
330,0,"-0.386428","1.29231","-5.56979"
331,0,"-0.238702","1.31262","-5.47783"
332,0,"-0.267141","1.33567","-5.4831"
333,0,"-0.684625","1.65363","-5.31129"
334,0,"-0.734784","1.69463","-5.35378"
335,0,"-0.73342","1.6966","-5.35444"
336,0,"-0.232997","1.3126","-5.47343"
337,0,"-0.236719","1.30449","-5.4694"
338,0,"-0.232928","1.31058","-5.46183"
339,0,"-0.681586","1.64761","-5.31933"
340,0,"-0.279055","1.35406","-5.48366"
341,0,"-0.663543","1.63809","-5.33026"
342,0,"-0.264534","1.3443","-5.48632"
343,0,"-0.740133","1.70369","-5.33928"
344,0,"-0.246602","1.32025","-5.47179"
345,0,"-0.262993","1.327","-5.48204"
346,0,"-0.260121","1.32485","-5.4626"
347,0,"-0.696507","1.6703","-5.34049"
348,0,"-0.866327","1.67701","-5.42409"
349,0,"-0.254759","1.31617","-5.47271"
350,0,"-0.263332","1.31864","-5.4732"
351,0,"-0.2578","1.33336","-5.48538"
352,0,"-0.727449","1.6909","-5.33928"
353,0,"-0.702337","1.67808","-5.32998"
354,0,"-0.258753","1.32617","-5.48417"
355,0,"-0.249289","1.31739","-5.46473"
356,0,"-0.272881","1.35565","-5.47536"
357,0,"-0.70691","1.67856","-5.32132"
358,0,"-0.790551","1.6136","-5.41216"
359,0,"-0.275935","1.34097","-5.47765"
360,0,"-0.685224","1.65531","-5.33044"
361,0,"-0.764691","1.73262","-5.35313"
362,0,"-0.284021","1.36513","-5.48"
363,0,"-0.267367","1.32257","-5.47749"
364,0,"-0.251102","1.32436","-5.47863"
365,0,"-0.667827","1.65887","-5.32246"
366,0,"-0.708515","1.67768","-5.32901"
367,0,"-0.688129","1.66061","-5.32591"
368,0,"-0.722444","1.68376","-5.3389"
369,0,"-0.696667","1.66951","-5.32491"
370,0,"-0.229769","1.31276","-5.4707"
371,0,"-0.744449","1.68487","-5.32266"
372,0,"-0.677864","1.64631","-5.32741"
373,0,"-0.694469","1.66479","-5.32778"
374,0,"-0.749712","1.71424","-5.34462"
375,0,"-0.258186","1.32219","-5.47246"
