Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1762165895.7949724,0.0,-4.0,-1001.0,0,0,0,0.0,0.0,0.0
1762165895.9098504,0.0,-4.0,-1001.0,0,0,0,0.0,0.0,0.0
1762165896.0214326,0.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762165896.126239,0.0,-4.0,-1000.0,0,0,0,0.0,0.0,0.0
1762165896.2397392,0.0,-5.0,-1000.0,0,0,0,0.0,0.0,0.0
1762165896.352134,0.0,-3.0,-1003.0,0,0,0,0.0,0.0,0.0
1762165896.4651675,0.0,-4.0,-998.0,0,0,0,0.0,0.0,0.0
1762165896.578052,1.0,-3.0,-1003.0,0,0,0,0.0,0.0,0.0
1762165896.6934512,0.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1762165896.8069196,-1.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762165896.9203866,0.0,-3.0,-998.0,0,0,0,0.0,0.0,0.0
1762165897.033307,0.0,-3.0,-998.0,0,0,0,0.0,0.0,0.0
1762165897.1458235,0.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1762165897.2567906,0.0,-5.0,-1001.0,0,0,0,0.0,0.0,0.0
1762165897.3690696,0.0,-4.0,-1000.0,0,0,0,0.0,0.0,0.0
1762165897.4815247,0.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762165897.593685,0.0,-2.0,-998.0,0,0,0,0.0,0.0,0.0
1762165897.709947,0.0,-4.0,-1000.0,0,0,0,0.0,0.0,0.0
1762165897.8225815,0.0,-4.0,-997.0,0,0,0,0.0,0.0,0.0
1762165897.9349968,-1.0,-5.0,-999.0,0,0,0,0.0,0.0,0.0
1762165898.0470903,0.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762165898.1604657,-1.0,-3.0,-999.0,0,0,0,0.0,0.0,0.0
1762165898.2761636,-1.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1762165898.387666,0.0,-4.0,-998.0,0,0,0,0.0,0.0,0.0
1762165898.5006402,0.0,-4.0,-999.0,0,0,0,0.0,0.0,0.0
1762165898.6126258,0.0,-4.0,-997.0,0,0,0,0.0,0.0,0.0
1762165898.724577,0.0,-5.0,-999.0,0,0,0,0.0,0.0,0.0
1762165898.8435328,0.0,-3.0,-1000.0,0,0,0,0.0,0.0,0.0
1762165898.9596038,0.0,-2.0,-1000.0,0,0,0,0.0,0.0,0.0
1762165899.0710392,-1.0,0.0,-1001.0,0,0,0,0.0,0.0,0.0
1762165899.1837733,5.0,-7.0,-1002.0,0,0,0,0.0,0.0,0.0
