Frame,Sub Frame,"Position - TelloUWB11",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
159,0,"833.415","31.0922","92.1401"
160,0,"833.478","30.8507","92.4028"
161,0,"833.674","30.7397","92.3139"
162,0,"833.678","30.7351","92.3219"
163,0,"833.481","30.8508","92.4077"
164,0,"833.488","30.84","92.3642"
165,0,"833.482","30.8487","92.3871"
166,0,"833.482","30.8374","92.3703"
167,0,"833.476","30.8491","92.352"
168,0,"833.476","30.8476","92.3754"
169,0,"833.482","30.841","92.3642"
170,0,"833.487","30.845","92.3826"
171,0,"833.185","31.2141","92.1974"
172,0,"833.492","30.8438","92.3873"
173,0,"833.476","30.8464","92.3812"
174,0,"833.691","30.7227","92.3308"
175,0,"833.679","30.7319","92.3123"
176,0,"833.201","31.2173","92.2167"
177,0,"833.485","30.8412","92.3813"
178,0,"833.482","30.845","92.3846"
179,0,"833.483","30.8453","92.3567"
180,0,"833.478","30.8456","92.3906"
181,0,"833.212","31.2092","92.2091"
182,0,"833.487","30.8499","92.3633"
183,0,"833.468","30.8536","92.3901"
184,0,"833.473","30.8557","92.3608"
185,0,"833.688","30.7214","92.3102"
186,0,"833.2","31.2247","92.206"
187,0,"833.19","31.234","92.2215"
188,0,"833.467","30.8727","92.361"
189,0,"833.209","31.2198","92.1934"
190,0,"833.486","30.8577","92.386"
191,0,"833.48","30.8584","92.3868"
192,0,"833.483","30.8537","92.3764"
193,0,"833.192","31.2196","92.2118"
194,0,"833.688","30.7208","92.2918"
195,0,"833.187","31.2294","92.2268"
196,0,"833.188","31.2263","92.2117"
197,0,"833.493","30.831","92.3822"
198,0,"833.476","30.8438","92.384"
199,0,"833.484","30.8388","92.3643"
200,0,"833.407","31.103","92.1281"
201,0,"833.192","31.2226","92.2089"
202,0,"833.487","30.8339","92.3684"
203,0,"833.492","30.8493","92.3541"
204,0,"833.178","31.2375","92.2274"
205,0,"833.689","30.7215","92.2875"
206,0,"833.683","30.7187","92.3493"
207,0,"833.393","31.0961","92.1289"
208,0,"833.478","30.8456","92.3846"
209,0,"833.468","30.8568","92.3578"
210,0,"833.685","30.7234","92.3011"
211,0,"833.204","31.2098","92.2053"
212,0,"833.49","30.8455","92.3806"
213,0,"833.48","30.853","92.3625"
214,0,"833.477","30.8538","92.3771"
215,0,"833.677","30.7234","92.299"
216,0,"833.192","31.2223","92.2082"
217,0,"833.671","30.7276","92.316"
218,0,"833.467","30.8489","92.3917"
219,0,"833.186","31.23","92.1949"
220,0,"833.468","30.8543","92.3655"
221,0,"833.198","31.2268","92.2083"
222,0,"833.482","30.8429","92.3794"
223,0,"833.405","31.0815","92.1505"
224,0,"833.497","30.8259","92.3785"
225,0,"833.406","31.0887","92.1273"
226,0,"833.684","30.726","92.2932"
227,0,"833.707","30.7098","92.3094"
228,0,"833.396","31.091","92.1165"
229,0,"833.49","30.8294","92.385"
230,0,"833.484","30.8565","92.3745"
231,0,"833.204","31.2191","92.1989"
232,0,"833.491","30.844","92.3615"
233,0,"833.702","30.7266","92.3324"
234,0,"833.695","30.7292","92.3215"
235,0,"833.488","30.8388","92.3587"
236,0,"833.496","30.8449","92.3737"
237,0,"833.488","30.8584","92.4009"
238,0,"833.202","31.23","92.2132"
239,0,"833.199","31.2085","92.2419"
240,0,"833.491","30.842","92.3611"
241,0,"833.214","31.2166","92.1974"
242,0,"833.498","30.8321","92.3809"
243,0,"833.493","30.8322","92.3866"
244,0,"833.402","31.0973","92.154"
245,0,"833.472","30.8576","92.3976"
246,0,"833.687","30.735","92.3077"
247,0,"833.207","31.2183","92.2006"
248,0,"833.484","30.8501","92.3768"
249,0,"833.48","30.8682","92.3847"
250,0,"833.492","30.8326","92.3661"
251,0,"833.686","30.7221","92.2994"
252,0,"833.194","31.2337","92.1893"
253,0,"833.193","31.2323","92.2399"
254,0,"833.69","30.7182","92.3133"
255,0,"833.475","30.8481","92.3966"
256,0,"833.489","30.8458","92.3835"
257,0,"833.203","31.2344","92.2194"
258,0,"833.484","30.8542","92.3683"
259,0,"833.5","30.8547","92.3603"
260,0,"833.2","31.2087","92.2023"
261,0,"833.469","30.8516","92.3729"
262,0,"833.692","30.7172","92.29"
263,0,"833.682","30.7227","92.3225"
264,0,"833.695","30.7095","92.3158"
265,0,"833.205","31.2292","92.2059"
266,0,"833.485","30.8484","92.3609"
267,0,"833.192","31.2295","92.1931"
268,0,"833.204","31.2241","92.2129"
269,0,"833.489","30.8416","92.3767"
270,0,"833.481","30.8391","92.3915"
271,0,"833.482","30.8354","92.3561"
272,0,"833.49","30.8455","92.3572"
273,0,"833.49","30.8466","92.3505"
274,0,"833.425","31.0828","92.1338"
275,0,"833.488","30.8432","92.3632"
276,0,"833.498","30.8421","92.365"
277,0,"833.196","31.227","92.2096"
278,0,"833.471","30.8473","92.3854"
279,0,"833.488","30.857","92.3833"
280,0,"833.49","30.8579","92.3694"
281,0,"833.493","30.843","92.3728"
282,0,"833.489","30.8343","92.3528"
283,0,"833.197","31.2236","92.1919"
284,0,"833.195","31.2095","92.2122"
285,0,"833.481","30.8386","92.4055"
286,0,"833.206","31.2076","92.2001"
287,0,"833.486","30.8309","92.357"
288,0,"833.682","30.7325","92.3191"
289,0,"833.691","30.7155","92.3147"
290,0,"833.692","30.7141","92.3065"
291,0,"833.18","31.2251","92.1913"
292,0,"833.474","30.8515","92.3622"
293,0,"833.18","31.23","92.2223"
294,0,"833.189","31.2277","92.209"
295,0,"833.484","30.841","92.3734"
296,0,"833.177","31.235","92.1984"
297,0,"833.476","30.8472","92.3908"
298,0,"833.208","31.2016","92.1953"
299,0,"833.482","30.8659","92.3575"
300,0,"833.477","30.8504","92.3948"
301,0,"833.478","30.8547","92.4025"
302,0,"833.488","30.8509","92.3624"
303,0,"833.459","30.8789","92.3642"
304,0,"833.201","31.2264","92.2057"
305,0,"833.196","31.2398","92.2136"
306,0,"833.495","30.8488","92.4021"
307,0,"833.401","31.1085","92.1304"
308,0,"833.182","31.2233","92.2047"
309,0,"833.691","30.7239","92.3208"
310,0,"833.485","30.8473","92.382"
311,0,"833.204","31.2336","92.222"
312,0,"833.198","31.2142","92.2079"
313,0,"833.473","30.8574","92.3674"
314,0,"833.478","30.8551","92.3905"
315,0,"833.483","30.8391","92.3783"
316,0,"833.203","31.2056","92.1997"
317,0,"833.681","30.7181","92.3124"
318,0,"833.471","30.8484","92.398"
319,0,"833.47","30.8508","92.3685"
320,0,"833.487","30.8412","92.3895"
321,0,"833.494","30.8551","92.3893"
322,0,"833.479","30.847","92.379"
323,0,"833.193","31.2304","92.2211"
324,0,"833.69","30.7175","92.3065"
325,0,"833.461","30.8634","92.3772"
326,0,"833.194","31.2181","92.209"
327,0,"833.468","30.8439","92.3842"
328,0,"833.199","31.2277","92.2008"
329,0,"833.195","31.2233","92.2032"
330,0,"833.41","31.0983","92.1183"
331,0,"833.2","31.2155","92.1997"
332,0,"833.193","31.2154","92.2221"
333,0,"833.504","30.8159","92.3637"
334,0,"833.463","30.8587","92.3777"
335,0,"833.473","30.8636","92.3839"
336,0,"833.199","31.2269","92.2023"
337,0,"833.194","31.2079","92.2076"
338,0,"833.209","31.2098","92.1989"
339,0,"833.494","30.8378","92.3712"
340,0,"833.195","31.2205","92.2153"
341,0,"833.491","30.8549","92.3726"
342,0,"833.199","31.2262","92.2148"
343,0,"833.474","30.8684","92.3819"
344,0,"833.194","31.2256","92.1962"
345,0,"833.191","31.2256","92.2123"
346,0,"833.206","31.2105","92.2037"
347,0,"833.469","30.8502","92.3915"
348,0,"833.684","30.7226","92.3382"
349,0,"833.191","31.2184","92.2013"
350,0,"833.215","31.2037","92.2108"
351,0,"833.176","31.2318","92.2183"
352,0,"833.475","30.8515","92.4001"
353,0,"833.489","30.8463","92.3844"
354,0,"833.193","31.2169","92.1977"
355,0,"833.182","31.2205","92.2145"
356,0,"833.204","31.2165","92.2192"
357,0,"833.488","30.8443","92.3859"
358,0,"833.69","30.7284","92.3133"
359,0,"833.196","31.2261","92.2224"
360,0,"833.466","30.8567","92.3654"
361,0,"833.458","30.865","92.4097"
362,0,"833.215","31.2173","92.2256"
363,0,"833.194","31.221","92.1985"
364,0,"833.198","31.2208","92.1981"
365,0,"833.476","30.8394","92.369"
366,0,"833.483","30.8449","92.3874"
367,0,"833.483","30.8436","92.3827"
368,0,"833.489","30.8478","92.3814"
369,0,"833.485","30.843","92.3792"
370,0,"833.186","31.2182","92.2057"
371,0,"833.488","30.8448","92.385"
372,0,"833.482","30.8641","92.355"
373,0,"833.498","30.8481","92.3793"
374,0,"833.481","30.8635","92.4076"
375,0,"833.197","31.2221","92.2065"
376,0,"833.181","31.2417","92.214"
377,0,"833.393","31.1002","92.1448"
378,0,"833.484","30.8601","92.4006"
379,0,"833.474","30.8554","92.424"
380,0,"833.486","30.8503","92.3779"
381,0,"833.186","31.228","92.2056"
382,0,"833.409","31.113","92.1354"
383,0,"833.203","31.219","92.2013"
384,0,"833.481","30.8495","92.3681"
385,0,"833.472","30.8509","92.398"
386,0,"833.489","30.836","92.3686"
387,0,"833.482","30.8476","92.3759"
388,0,"833.483","30.8553","92.3719"
389,0,"833.517","30.8396","92.3685"
390,0,"833.483","30.8467","92.3732"
