Frame,Sub Frame,"Position - TelloUWB22",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
144,0,"-28.9942","959.978","-4.26554"
145,0,"-29.2839","960.316","-4.17053"
146,0,"-28.9916","959.977","-4.27641"
147,0,"-28.9975","959.98","-4.26415"
148,0,"-29.002","959.98","-4.27097"
149,0,"-28.9988","959.987","-4.26406"
150,0,"-29.2814","960.309","-4.16489"
151,0,"-28.9973","959.966","-4.25097"
152,0,"-29.0021","959.978","-4.24936"
153,0,"-29","959.97","-4.26561"
154,0,"-28.9942","959.975","-4.26415"
155,0,"-28.9986","959.986","-4.27392"
156,0,"-28.9914","959.979","-4.26867"
157,0,"-29.0035","959.991","-4.25984"
158,0,"-28.9982","959.987","-4.2621"
159,0,"-29.2971","960.316","-4.1637"
160,0,"-28.9977","959.983","-4.26191"
161,0,"-29.2956","960.312","-4.17734"
162,0,"-28.9976","959.969","-4.25241"
163,0,"-28.9982","959.97","-4.26085"
164,0,"-28.9948","959.979","-4.25065"
165,0,"-29.2909","960.318","-4.16729"
166,0,"-28.9992","959.981","-4.27194"
167,0,"-28.9934","959.986","-4.26511"
168,0,"-28.9934","959.985","-4.26421"
169,0,"-28.9917","959.974","-4.27914"
170,0,"-28.9945","959.981","-4.27464"
171,0,"-29.2854","960.316","-4.16066"
172,0,"-28.998","959.976","-4.27438"
173,0,"-28.9942","959.975","-4.26127"
174,0,"-29.0013","959.972","-4.26674"
175,0,"-29.001","959.979","-4.27871"
176,0,"-29.0008","959.973","-4.27314"
177,0,"-28.9966","959.977","-4.26714"
178,0,"-28.9903","959.971","-4.26516"
179,0,"-29.0036","959.98","-4.26381"
180,0,"-29.0022","959.981","-4.26555"
181,0,"-29.0023","959.979","-4.26589"
182,0,"-28.9938","959.98","-4.25452"
183,0,"-29.0019","959.983","-4.24164"
184,0,"-29.3023","960.319","-4.15439"
185,0,"-28.9999","959.983","-4.26363"
186,0,"-29.0111","959.98","-4.25753"
187,0,"-29.0096","959.975","-4.25814"
188,0,"-29.0023","959.977","-4.24741"
189,0,"-29.3023","960.31","-4.15648"
190,0,"-29.2721","960.291","-4.18005"
191,0,"-29.001","959.981","-4.25314"
192,0,"-29.0018","959.976","-4.26621"
193,0,"-28.9943","959.977","-4.24723"
194,0,"-28.9966","959.974","-4.25567"
195,0,"-29.2962","960.318","-4.15674"
196,0,"-29.3007","960.319","-4.16231"
197,0,"-28.9949","959.976","-4.26966"
198,0,"-29.0059","959.976","-4.25631"
199,0,"-29.2999","960.313","-4.1531"
200,0,"-29.0031","959.977","-4.25705"
201,0,"-28.9972","959.983","-4.25447"
202,0,"-29.2928","960.322","-4.15954"
203,0,"-28.9909","959.992","-4.2541"
204,0,"-28.9998","959.977","-4.24481"
205,0,"-28.9999","959.977","-4.25724"
206,0,"-28.9983","959.98","-4.26828"
207,0,"-28.998","959.988","-4.2652"
208,0,"-28.9978","959.974","-4.26634"
209,0,"-29.2912","960.309","-4.15688"
210,0,"-28.9979","959.976","-4.25394"
211,0,"-28.9995","959.972","-4.26048"
212,0,"-29.2985","960.317","-4.14839"
213,0,"-29.2902","960.318","-4.1596"
214,0,"-28.9959","959.97","-4.25946"
215,0,"-29.0515","959.975","-4.26058"
216,0,"-29.0536","959.971","-4.27728"
217,0,"-29.0011","959.978","-4.25872"
218,0,"-29.287","960.308","-4.1552"
219,0,"-29.0004","959.984","-4.26727"
220,0,"-29.344","960.311","-4.16203"
221,0,"-28.9941","959.984","-4.24718"
222,0,"-28.9927","959.986","-4.2425"
223,0,"-29.0042","959.986","-4.23382"
224,0,"-28.9979","959.976","-4.25494"
225,0,"-28.9984","959.985","-4.2633"
226,0,"-29.0036","959.97","-4.25865"
227,0,"-29.0026","959.975","-4.264"
228,0,"-29.0031","959.974","-4.2527"
229,0,"-29.0008","959.976","-4.26395"
230,0,"-28.9967","959.977","-4.26919"
231,0,"-28.9982","959.985","-4.2571"
232,0,"-28.9938","959.99","-4.26168"
233,0,"-29.0015","959.972","-4.26385"
234,0,"-29.001","959.973","-4.26244"
235,0,"-29.0002","959.971","-4.2658"
236,0,"-28.9997","959.975","-4.24835"
237,0,"-29.0043","959.975","-4.25425"
238,0,"-29.0022","959.975","-4.25046"
239,0,"-29.0559","959.992","-4.27347"
240,0,"-28.9999","959.976","-4.26234"
241,0,"-29.0021","959.97","-4.2506"
242,0,"-29.0052","959.978","-4.25892"
243,0,"-29.0015","959.979","-4.26218"
244,0,"-29.0603","959.972","-4.26125"
245,0,"-29.0484","959.967","-4.28115"
246,0,"-29.0052","959.969","-4.26003"
247,0,"-29.3008","960.308","-4.16148"
248,0,"-29.2987","960.307","-4.16475"
249,0,"-29.2987","960.314","-4.15605"
250,0,"-28.9968","959.982","-4.25905"
251,0,"-28.9966","959.974","-4.27088"
252,0,"-29.0093","959.97","-4.24927"
253,0,"-29.0031","959.981","-4.25579"
254,0,"-29.0035","959.966","-4.25841"
255,0,"-29.0026","959.97","-4.25686"
256,0,"-29.0047","959.977","-4.26806"
257,0,"-29.0059","959.972","-4.26076"
258,0,"-29.3035","960.312","-4.15406"
259,0,"-29.298","960.308","-4.17366"
260,0,"-29.0071","959.967","-4.27106"
261,0,"-29.001","959.973","-4.25667"
262,0,"-29.0002","959.985","-4.27237"
263,0,"-29.0059","959.981","-4.25886"
264,0,"-29.003","959.969","-4.24658"
265,0,"-29.004","959.977","-4.26318"
266,0,"-29.0058","959.973","-4.26708"
267,0,"-29.0007","959.98","-4.25743"
268,0,"-29.0039","959.976","-4.25502"
269,0,"-29.0026","959.978","-4.26101"
270,0,"-29.0043","959.967","-4.27287"
271,0,"-29.0035","959.984","-4.26042"
272,0,"-29.3009","960.307","-4.15802"
273,0,"-29.0071","959.975","-4.25089"
274,0,"-29.3026","960.319","-4.15961"
275,0,"-29.0152","959.975","-4.2541"
276,0,"-29.0002","959.973","-4.26436"
277,0,"-29.3032","960.31","-4.16234"
278,0,"-29.0101","959.967","-4.26071"
279,0,"-29.2916","960.309","-4.1559"
280,0,"-29.0035","959.983","-4.25152"
281,0,"-28.9994","959.979","-4.25903"
282,0,"-29.0027","959.97","-4.26649"
283,0,"-29.0004","959.972","-4.2649"
284,0,"-29.0082","959.972","-4.26163"
285,0,"-29.0057","959.975","-4.25729"
286,0,"-28.9932","959.979","-4.26108"
287,0,"-28.9981","959.974","-4.26337"
288,0,"-29.0022","959.98","-4.25806"
289,0,"-29.0027","959.977","-4.26277"
290,0,"-29.008","959.975","-4.25941"
291,0,"-29.0064","959.973","-4.26746"
292,0,"-28.999","959.978","-4.25501"
293,0,"-28.993","959.983","-4.26204"
294,0,"-29.0013","959.971","-4.26972"
295,0,"-29.0557","959.979","-4.27883"
296,0,"-29.006","959.98","-4.26181"
297,0,"-29.0054","959.979","-4.27457"
298,0,"-28.9974","959.977","-4.26888"
299,0,"-29.0092","959.975","-4.26878"
300,0,"-29.0132","959.979","-4.27753"
301,0,"-29.0001","959.981","-4.26807"
302,0,"-29.2967","960.308","-4.163"
303,0,"-28.9967","959.972","-4.26661"
304,0,"-29.0049","959.974","-4.25585"
305,0,"-28.9999","959.98","-4.26163"
306,0,"-29.0119","959.976","-4.25767"
307,0,"-28.997","959.971","-4.25545"
308,0,"-28.9887","959.99","-4.25542"
309,0,"-29.2977","960.311","-4.16245"
310,0,"-29.0054","959.978","-4.25564"
311,0,"-29.0074","959.984","-4.27399"
312,0,"-29.0028","959.978","-4.25616"
313,0,"-29.0003","959.974","-4.25181"
314,0,"-29.2892","960.294","-4.15194"
315,0,"-28.9995","959.983","-4.27146"
316,0,"-29.297","960.319","-4.15837"
