Frame,Sub Frame,"Rotation (Helical) - TelloUWB22",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
1,0,"-0.990604","5.53397","170.451"
2,0,"-1.65875","6.25561","170.296"
3,0,"-1.68139","6.22743","170.31"
4,0,"-1.66855","6.23645","170.317"
5,0,"-1.65866","6.23398","170.295"
6,0,"-1.66619","6.23602","170.294"
7,0,"-1.66381","6.24259","170.311"
8,0,"-0.965868","5.52346","170.457"
9,0,"-0.983147","5.52048","170.451"
10,0,"-0.958547","5.53565","170.444"
11,0,"-1.65665","6.24439","170.293"
12,0,"-1.66859","6.24387","170.301"
13,0,"-1.6434","6.24913","170.296"
14,0,"-1.66131","6.21271","170.296"
15,0,"-1.64786","6.25206","170.287"
16,0,"-0.971556","5.55984","170.455"
17,0,"-1.66284","6.25653","170.3"
18,0,"-1.66846","6.24613","170.306"
19,0,"-1.65269","6.26058","170.293"
20,0,"-0.958246","5.54032","170.456"
21,0,"-1.1502","5.52255","170.456"
22,0,"-1.66204","6.25462","170.302"
23,0,"-1.6639","6.23901","170.298"
24,0,"-1.64563","6.23377","170.301"
25,0,"-1.64724","6.26239","170.296"
26,0,"-0.986038","5.54863","170.451"
27,0,"-1.63597","6.24853","170.304"
28,0,"-1.66125","6.27114","170.304"
29,0,"-1.65156","6.27457","170.297"
30,0,"-0.986082","5.53293","170.456"
31,0,"-1.66953","6.24536","170.295"
32,0,"-1.63865","6.24841","170.293"
33,0,"-0.976952","5.52422","170.446"
34,0,"-1.65179","6.24601","170.294"
35,0,"-1.68933","6.26746","170.293"
36,0,"-1.68807","6.23789","170.303"
37,0,"-1.00249","5.53747","170.463"
38,0,"-1.65138","6.25196","170.295"
39,0,"-1.67955","6.24458","170.298"
40,0,"-0.960028","5.55054","170.446"
41,0,"-0.963661","5.53846","170.448"
42,0,"-1.66455","6.24437","170.29"
43,0,"-0.957098","5.53098","170.458"
44,0,"-0.98504","5.52049","170.449"
45,0,"-1.64795","6.26111","170.297"
46,0,"-1.67651","6.23752","170.304"
47,0,"-1.80579","6.24163","170.284"
48,0,"-0.962467","5.53495","170.448"
49,0,"-1.66565","6.24142","170.299"
50,0,"-1.6647","6.23135","170.307"
51,0,"-1.67391","6.2288","170.3"
52,0,"-1.65984","6.23529","170.288"
53,0,"-1.66095","6.2514","170.301"
54,0,"-1.63578","6.2403","170.293"
55,0,"-1.65836","6.23751","170.308"
56,0,"-1.69041","6.24921","170.303"
57,0,"-1.66989","6.22062","170.293"
58,0,"-0.982424","5.54997","170.453"
59,0,"-1.6453","6.25545","170.293"
60,0,"-1.65687","6.24947","170.301"
61,0,"-0.979512","5.5308","170.461"
62,0,"-1.66736","6.23025","170.299"
63,0,"-1.6628","6.26909","170.295"
64,0,"-1.65922","6.24694","170.298"
65,0,"-0.985183","5.53783","170.459"
66,0,"-0.964763","5.52904","170.459"
67,0,"-1.68014","6.25139","170.304"
68,0,"-1.65383","6.25846","170.302"
69,0,"-0.956485","5.53292","170.444"
70,0,"-0.993996","5.54238","170.453"
71,0,"-1.6506","6.24908","170.301"
72,0,"-0.987378","5.54531","170.451"
73,0,"-0.981013","5.56532","170.463"
74,0,"-1.69839","6.22154","170.302"
75,0,"-1.81693","6.24244","170.302"
76,0,"-1.62804","6.23765","170.297"
77,0,"-1.62979","6.24461","170.297"
78,0,"-1.66501","6.22891","170.289"
79,0,"-1.67895","6.23667","170.306"
80,0,"-1.66775","6.24101","170.299"
81,0,"-0.962362","5.52981","170.443"
82,0,"-1.65343","6.24165","170.299"
83,0,"-1.65406","6.24729","170.297"
84,0,"-0.984211","5.53566","170.452"
85,0,"-0.972304","5.5399","170.454"
86,0,"-1.65866","6.25612","170.308"
87,0,"-1.64731","6.2432","170.288"
88,0,"-0.981291","5.5369","170.449"
89,0,"-0.962178","5.54693","170.446"
90,0,"-1.66886","6.24135","170.299"
91,0,"-1.6633","6.24374","170.3"
92,0,"-1.68003","6.22997","170.311"
93,0,"-1.64781","6.24009","170.303"
