Frame,Sub Frame,"Rotation (Helical) - TelloUWB22",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
152,0,"-0.657482","6.88073","178.212"
153,0,"0.868157","6.2939","178.831"
154,0,"-0.440834","7.02701","178.084"
155,0,"0.86559","6.30025","178.823"
156,0,"-0.425617","7.03455","178.095"
157,0,"0.185472","7.61769","177.987"
158,0,"-0.44401","7.05677","178.091"
159,0,"-0.87448","6.92606","178.062"
160,0,"-0.442134","7.04893","178.091"
161,0,"-0.431166","7.03757","178.083"
162,0,"-0.886215","6.91899","178.066"
163,0,"-0.911225","6.91127","178.066"
164,0,"-0.417673","7.03693","178.088"
165,0,"-0.70763","6.89048","178.202"
166,0,"-0.682266","6.84775","178.233"
167,0,"-0.40693","7.04591","178.082"
168,0,"-0.88562","6.92608","178.067"
169,0,"-0.892825","6.90312","178.07"
170,0,"-0.673824","6.86568","178.226"
171,0,"-0.427854","7.0327","178.09"
172,0,"-0.44798","7.05702","178.091"
173,0,"-0.876963","6.92113","178.07"
174,0,"-0.455497","7.03673","178.081"
175,0,"-0.440061","7.0374","178.102"
176,0,"-0.869838","6.90189","178.071"
177,0,"-0.408549","7.02124","178.097"
178,0,"-0.662861","6.87597","178.199"
179,0,"-0.422635","7.02793","178.087"
180,0,"0.886197","6.31181","178.808"
181,0,"-0.455633","7.05146","178.082"
182,0,"-0.886154","6.92582","178.059"
183,0,"-0.677021","6.88193","178.216"
184,0,"-0.427808","7.04662","178.082"
185,0,"-0.883333","6.92427","178.062"
186,0,"-0.428284","7.04134","178.085"
187,0,"-0.397061","7.04894","178.109"
188,0,"-0.835337","6.96746","178.054"
189,0,"0.889575","6.33002","178.816"
190,0,"-0.883037","6.90714","178.059"
191,0,"-0.890978","6.93022","178.068"
192,0,"-0.439475","7.02605","178.096"
193,0,"-0.440132","7.04416","178.079"
194,0,"-0.890477","6.95259","178.051"
195,0,"-0.444336","7.02868","178.08"
196,0,"-0.431603","7.01436","178.081"
197,0,"-0.867179","6.94124","178.069"
198,0,"-0.417931","7.00588","178.105"
199,0,"-0.442442","7.02482","178.089"
200,0,"0.87636","6.32581","178.834"
201,0,"-0.881488","6.92639","178.074"
202,0,"-0.083284","7.65303","177.834"
203,0,"0.849712","6.30106","178.83"
204,0,"-0.426285","7.0501","178.088"
205,0,"-0.864426","6.94217","178.049"
206,0,"-0.87064","6.95153","178.057"
207,0,"-0.445037","7.05077","178.087"
208,0,"-0.867037","6.91622","178.069"
209,0,"-0.355462","7.44","177.984"
210,0,"-0.416136","7.03547","178.095"
211,0,"-0.880934","6.91471","178.079"
212,0,"-0.436184","7.02241","178.08"
213,0,"-0.900844","6.92304","178.057"
214,0,"-0.416103","7.02313","178.08"
215,0,"-0.663072","6.88054","178.212"
216,0,"-0.416348","7.0521","178.09"
217,0,"-0.428102","7.05425","178.072"
218,0,"0.862498","6.33296","178.816"
219,0,"-0.883145","6.91952","178.072"
220,0,"-0.866346","6.93141","178.057"
221,0,"-0.435384","7.03734","178.082"
222,0,"0.899264","6.30531","178.818"
223,0,"0.899595","6.31193","178.815"
224,0,"-0.665862","6.88543","178.209"
225,0,"-0.891737","6.92037","178.07"
226,0,"-0.412761","7.03046","178.099"
227,0,"-0.895687","6.93055","178.051"
228,0,"0.87295","6.31266","178.818"
229,0,"-0.671918","6.88245","178.201"
230,0,"0.854235","6.30801","178.816"
231,0,"0.878718","6.30565","178.823"
232,0,"-0.404001","7.0318","178.086"
233,0,"-0.437688","7.02284","178.096"
234,0,"0.889151","6.3216","178.819"
235,0,"-0.429336","7.04816","178.092"
236,0,"0.908245","6.29695","178.832"
237,0,"-0.457896","7.01363","178.094"
238,0,"-0.427568","7.02393","178.092"
239,0,"-0.879028","6.92923","178.052"
240,0,"0.87535","6.30307","178.814"
241,0,"-0.872215","6.90285","178.062"
242,0,"-0.434885","7.02993","178.099"
243,0,"-0.425716","7.01154","178.101"
244,0,"-0.427322","7.04473","178.09"
245,0,"-0.419919","7.02842","178.091"
246,0,"-0.431116","7.03391","178.084"
247,0,"-0.44303","7.01358","178.087"
248,0,"-0.427338","7.03421","178.087"
249,0,"-0.674323","6.85913","178.219"
250,0,"-0.908268","6.92126","178.068"
251,0,"-0.440667","7.01772","178.097"
252,0,"0.873927","6.31161","178.813"
253,0,"-0.895229","6.89924","178.058"
254,0,"-0.862627","6.92735","178.064"
255,0,"-0.865218","6.91671","178.059"
256,0,"-0.434512","7.03575","178.096"
257,0,"-0.0335059","7.65529","177.823"
258,0,"-0.63788","6.86414","178.215"
259,0,"0.859073","6.27789","178.822"
260,0,"-0.431731","7.01091","178.089"
261,0,"0.868867","6.29242","178.825"
262,0,"-0.862306","6.93563","178.051"
263,0,"0.884416","6.30893","178.814"
264,0,"-0.872909","6.92676","178.058"
265,0,"0.867972","6.29724","178.817"
266,0,"-0.402532","7.04166","178.093"
267,0,"-0.423341","7.05696","178.078"
268,0,"-0.414135","7.03186","178.074"
269,0,"-0.408805","7.04608","178.077"
270,0,"-0.450116","6.99754","178.089"
271,0,"-0.426393","7.02096","178.093"
272,0,"0.860105","6.32341","178.81"
273,0,"0.863901","6.29444","178.821"
274,0,"-0.898158","6.91516","178.057"
275,0,"0.876033","6.30312","178.812"
276,0,"-0.869882","6.91255","178.067"
277,0,"-0.449614","7.06939","178.08"
278,0,"-0.424417","7.0298","178.084"
279,0,"-0.423188","7.02413","178.086"
280,0,"0.882356","6.3062","178.83"
281,0,"-0.465412","7.03576","178.082"
282,0,"-0.419764","7.03083","178.09"
283,0,"0.884576","6.31319","178.813"
284,0,"-0.439432","7.02429","178.074"
285,0,"-0.420423","7.01617","178.086"
286,0,"0.865905","6.31113","178.821"
287,0,"-0.384226","7.03415","178.095"
288,0,"-0.425093","7.04258","178.078"
289,0,"-0.884891","6.90688","178.057"
290,0,"-0.866456","6.92542","178.065"
291,0,"0.89758","6.30434","178.825"
292,0,"-0.680985","6.85769","178.22"
293,0,"-0.449842","7.02821","178.098"
294,0,"-0.920797","6.87143","178.055"
295,0,"0.879713","6.28308","178.837"
296,0,"-0.867476","6.91193","178.075"
297,0,"-0.653547","6.899","178.22"
298,0,"0.864048","6.33051","178.812"
299,0,"-0.416988","7.03209","178.091"
300,0,"-0.410076","7.03204","178.093"
301,0,"-0.41266","7.0437","178.091"
302,0,"-0.434173","7.03642","178.086"
303,0,"-0.433646","7.06003","178.089"
304,0,"-0.417201","7.035","178.094"
305,0,"-0.415223","7.02167","178.086"
306,0,"-0.448254","7.0214","178.094"
307,0,"-0.42341","7.05889","178.084"
308,0,"-0.866059","6.92705","178.077"
309,0,"-0.414465","7.04416","178.084"
310,0,"0.883226","6.31677","178.824"
311,0,"0.899185","6.32008","178.819"
312,0,"-0.660025","6.86927","178.214"
313,0,"-0.90572","6.91083","178.067"
314,0,"-0.429595","7.03844","178.088"
315,0,"0.876996","6.30185","178.828"
316,0,"-0.425715","7.04858","178.09"
317,0,"-0.419337","7.04038","178.097"
318,0,"-0.419989","7.01521","178.093"
319,0,"-0.944172","6.88938","178.058"
320,0,"-0.411601","7.05011","178.082"
321,0,"-0.877865","6.92893","178.076"
322,0,"-0.428503","7.04307","178.076"
323,0,"-0.418843","7.04325","178.086"
324,0,"0.846481","6.29912","178.822"
325,0,"-0.434411","7.05085","178.082"
326,0,"-0.399617","7.0585","178.086"
327,0,"-0.649849","6.874","178.212"
328,0,"-0.94014","6.93756","178.037"
329,0,"-0.418525","7.0609","178.088"
330,0,"-0.442819","7.03074","178.097"
331,0,"-0.863961","6.94352","178.053"
332,0,"-0.442637","7.03647","178.099"
333,0,"-0.4418","7.04519","178.083"
334,0,"-0.455416","7.03655","178.088"
335,0,"-0.414322","7.04337","178.095"
336,0,"0.874947","6.32105","178.826"
337,0,"0.857525","6.28269","178.833"
338,0,"-0.640469","6.8969","178.199"
339,0,"-0.408472","7.05409","178.083"
340,0,"-0.419071","7.07027","178.079"
341,0,"-0.870391","6.93866","178.057"
342,0,"-0.897343","6.9126","178.06"
343,0,"-0.402978","7.04221","178.078"
344,0,"-0.844164","6.93179","178.08"
345,0,"-0.887113","6.90038","178.082"
346,0,"-0.420507","7.03883","178.098"
347,0,"-0.441441","7.03986","178.084"
348,0,"-0.895108","6.91864","178.066"
349,0,"-0.86672","6.94427","178.053"
350,0,"-0.402531","7.05003","178.084"
