Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1762170533.6500287,11.0,2.0,-1021.0,0,0,0,0.0,0.0,1.0
1762170533.7604585,18.0,12.0,-1016.0,0,0,0,0.0,0.0,1.0
1762170533.8621464,-5.0,2.0,-992.0,0,0,0,0.0,0.0,1.0
1762170533.9639955,9.0,-12.0,-1001.0,0,0,0,0.0,0.0,1.0
1762170534.0765421,0.0,-39.0,-1006.0,0,0,0,0.0,0.0,1.0
1762170534.1920989,-3.0,-26.0,-949.0,0,0,0,0.0,0.0,1.0
1762170534.293661,-7.0,-21.0,-995.0,0,0,0,0.0,0.0,1.0
1762170534.394125,4.0,-18.0,-1017.0,0,0,0,0.0,0.0,1.0
1762170534.5104113,18.0,16.0,-988.0,0,0,0,0.0,0.0,1.0
1762170534.6257255,9.0,-10.0,-980.0,0,0,0,0.0,0.0,1.0
1762170534.7414443,12.0,-9.0,-954.0,0,0,0,0.0,0.0,1.0
1762170534.843738,14.0,-25.0,-1008.0,0,0,0,0.0,0.0,1.0
1762170534.9451268,-12.0,-16.0,-1003.0,0,0,0,0.0,0.0,1.0
1762170535.0601828,1.0,-12.0,-1071.0,0,0,0,0.0,0.0,1.0
1762170535.1756532,6.0,8.0,-1014.0,0,0,0,0.0,0.0,1.0
1762170535.2912257,6.0,8.0,-1014.0,0,0,0,0.0,0.0,1.0
1762170535.4065087,6.0,0.0,-990.0,0,0,0,0.0,0.0,1.0
1762170535.5080373,-7.0,8.0,-1008.0,0,0,0,0.0,0.0,1.0
1762170535.60967,9.0,-1.0,-1023.0,0,0,0,0.0,0.0,1.0
1762170535.7102358,0.0,5.0,-1023.0,0,0,0,0.0,0.0,1.0
1762170535.8253503,12.0,27.0,-1020.0,0,0,0,0.0,0.0,1.0
1762170535.9260206,12.0,27.0,-1020.0,0,0,0,0.0,0.0,1.0
1762170536.0273843,0.0,12.0,-997.0,-1,0,0,-0.1013636589050293,0.0,1.0
1762170536.1429508,-16.0,-50.0,-962.0,-1,0,0,-0.21693015098571777,0.0,1.0
1762170536.2458823,-14.0,19.0,-1019.0,-1,0,0,-0.31986165046691895,0.0,1.0
1762170536.3599942,-4.0,27.0,-993.0,-1,0,0,-0.4339735507965088,0.0,1.0
1762170536.4747648,-15.0,-37.0,-926.0,-1,0,0,-0.5487442016601562,0.0,1.0
1762170536.5756965,-15.0,-37.0,-926.0,-1,0,0,-0.6496758460998535,0.0,1.0
1762170536.6913397,-16.0,-33.0,-1017.0,-1,0,0,-0.7653191089630127,0.0,1.0
1762170536.792776,2.0,17.0,-1015.0,-1,0,0,-0.866755485534668,0.0,1.0
1762170536.9093592,-7.0,-45.0,-983.0,-1,0,0,-0.9833385944366455,0.0,1.0
1762170537.0106783,4.0,-22.0,-997.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.125934,-9.0,-23.0,-992.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.2283065,16.0,-39.0,-1004.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.328628,-6.0,5.0,-1019.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.429059,-13.0,12.0,-997.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.5438323,2.0,-34.0,-981.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.64485,0.0,-28.0,-1000.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.7605267,-2.0,4.0,-1003.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.8752685,-12.0,-8.0,-1003.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170537.9766698,0.0,-9.0,-999.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170538.0922852,-11.0,2.0,-996.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170538.1935294,-11.0,2.0,-996.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170538.3082418,-19.0,-1.0,-1034.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170538.4097931,-19.0,-1.0,-1034.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170538.5102208,-4.0,-4.0,-987.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170538.6258113,-5.0,6.0,-995.0,0,0,0,-0.9833385944366455,0.0,1.0
1762170538.7283585,-8.0,-2.0,-1005.0,0,0,0,-0.9833385944366455,0.0,1.0
