Frame,Sub Frame,"Position - TelloUWB22",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
1,0,"-12.4921","12.5327","35.2104"
2,0,"-12.5423","12.5238","35.1894"
3,0,"-12.5919","12.4463","35.4954"
4,0,"-12.5379","12.5433","35.1935"
5,0,"-12.5294","12.4295","35.5577"
6,0,"-12.5368","12.4361","35.5596"
7,0,"-12.5942","12.4518","35.4688"
8,0,"-12.4748","12.5178","35.2583"
9,0,"-12.5441","12.4461","35.5128"
10,0,"-12.5897","12.448","35.4752"
11,0,"-12.5779","12.4199","35.5168"
12,0,"-12.5855","12.4321","35.5042"
13,0,"-12.5545","12.4563","35.5239"
14,0,"-12.5306","12.4536","35.5361"
15,0,"-12.5351","12.4449","35.5578"
16,0,"-12.5602","12.4438","35.5288"
17,0,"-12.526","12.4447","35.5525"
18,0,"-12.5999","12.444","35.4975"
19,0,"-12.5973","12.4343","35.5171"
20,0,"-12.5472","12.5393","35.1764"
21,0,"-12.5454","12.4347","35.5409"
22,0,"-12.5833","12.4447","35.5226"
23,0,"-12.5258","12.4615","35.522"
24,0,"-12.4935","12.5427","35.2122"
25,0,"-12.5457","12.4477","35.5246"
26,0,"-12.5398","12.4469","35.535"
27,0,"-12.5914","12.4314","35.5091"
28,0,"-12.5973","12.4332","35.5028"
29,0,"-12.599","12.4233","35.5022"
30,0,"-12.5604","12.4283","35.4968"
31,0,"-12.6107","12.4363","35.5191"
32,0,"-12.5478","12.5402","35.1945"
33,0,"-12.5607","12.4442","35.5447"
34,0,"-12.5356","12.4469","35.5395"
35,0,"-12.5492","12.4526","35.5431"
36,0,"-12.5411","12.5484","35.1788"
37,0,"-12.549","12.4515","35.5283"
38,0,"-12.5363","12.4349","35.554"
39,0,"-12.5907","12.4438","35.4972"
40,0,"-12.5209","12.4361","35.541"
41,0,"-12.5797","12.4386","35.5078"
42,0,"-12.5434","12.4483","35.5319"
43,0,"-12.5897","12.4416","35.5078"
44,0,"-12.6179","12.4519","35.4896"
45,0,"-12.6061","12.4456","35.5282"
46,0,"-12.5177","12.5238","35.2122"
47,0,"-12.5452","12.4412","35.5503"
48,0,"-12.6076","12.4519","35.4934"
49,0,"-12.4752","12.5401","35.2254"
50,0,"-12.5421","12.4449","35.5441"
51,0,"-12.5642","12.4335","35.5187"
52,0,"-12.5907","12.4469","35.5118"
53,0,"-12.5703","12.4486","35.5259"
54,0,"-12.5299","12.4356","35.5405"
55,0,"-12.5004","12.5463","35.2259"
56,0,"-12.5978","12.4395","35.5259"
57,0,"-12.5841","12.4353","35.4951"
58,0,"-12.5466","12.457","35.5437"
59,0,"-12.5442","12.4698","35.5352"
60,0,"-12.5471","12.4493","35.5667"
61,0,"-12.5372","12.4549","35.5646"
62,0,"-12.5796","12.4374","35.5327"
63,0,"-12.5405","12.4525","35.5425"
64,0,"-12.4947","12.5628","35.2135"
65,0,"-12.5444","12.4543","35.5452"
66,0,"-12.5566","12.456","35.5222"
67,0,"-12.4945","12.5545","35.2276"
68,0,"-12.5556","12.4546","35.5502"
69,0,"-12.5485","12.4462","35.5413"
70,0,"-12.566","12.4705","35.53"
71,0,"-12.55","12.4593","35.5396"
72,0,"-12.5758","12.4414","35.51"
73,0,"-12.5356","12.4326","35.5687"
74,0,"-12.5552","12.4631","35.5246"
75,0,"-12.5544","12.4411","35.5467"
76,0,"-12.5312","12.4407","35.549"
77,0,"-12.6031","12.4274","35.5087"
78,0,"-12.5297","12.4445","35.5439"
79,0,"-12.5355","12.4607","35.5391"
80,0,"-12.5667","12.4506","35.4861"
81,0,"-12.5461","12.4334","35.5529"
82,0,"-12.6029","12.4516","35.4936"
83,0,"-12.5484","12.4599","35.528"
84,0,"-12.5864","12.4526","35.5063"
85,0,"-12.577","12.4322","35.512"
86,0,"-12.5768","12.455","35.5366"
87,0,"-12.5902","12.4378","35.5012"
88,0,"-12.5574","12.4609","35.5386"
89,0,"-12.5378","12.4424","35.54"
90,0,"-12.5858","12.4486","35.4987"
91,0,"-12.5599","12.4601","35.5427"
92,0,"-12.5639","12.4453","35.5389"
93,0,"-12.4911","12.5491","35.2359"
94,0,"-12.5531","12.4538","35.5377"
95,0,"-12.5487","12.4508","35.5431"
96,0,"-12.5296","12.458","35.5364"
97,0,"-12.5554","12.4364","35.5397"
98,0,"-12.5493","12.5383","35.2043"
99,0,"-12.5917","12.4433","35.5131"
100,0,"-12.5411","12.4417","35.557"
101,0,"-12.5845","12.4423","35.5358"
102,0,"-12.5547","12.4584","35.5058"
103,0,"-12.4764","12.5515","35.2372"
104,0,"-12.5466","12.4606","35.5542"
105,0,"-12.5452","12.4543","35.5465"
106,0,"-12.4774","12.5486","35.228"
107,0,"-12.5515","12.434","35.5348"
108,0,"-12.5469","12.4566","35.5271"
109,0,"-12.5484","12.4448","35.538"
110,0,"-12.5382","12.4378","35.5302"
111,0,"-12.5988","12.4496","35.5005"
112,0,"-12.5008","12.5473","35.2255"
113,0,"-12.5265","12.4394","35.5578"
114,0,"-12.4977","12.5389","35.2436"
115,0,"-12.553","12.4401","35.5559"
116,0,"-12.5759","12.4482","35.519"
117,0,"-12.5453","12.4591","35.5448"
118,0,"-12.5091","12.5513","35.2222"
119,0,"-12.5095","12.565","35.2019"
120,0,"-12.5837","12.4522","35.4904"
121,0,"-12.5245","12.5218","35.2062"
122,0,"-12.5821","12.4504","35.4954"
123,0,"-12.5246","12.4497","35.5485"
124,0,"-12.5367","12.4478","35.534"
125,0,"-12.5058","12.5274","35.195"
126,0,"-12.477","12.556","35.2299"
127,0,"-12.5881","12.4562","35.4844"
128,0,"-12.4706","12.551","35.1968"
129,0,"-12.5538","12.4442","35.5433"
130,0,"-12.4875","12.5542","35.2211"
131,0,"-12.529","12.4323","35.5384"
132,0,"-12.5462","12.4423","35.5152"
133,0,"-12.5586","12.4427","35.5138"
134,0,"-12.5193","12.4414","35.5344"
