Time,Ax,Ay,Az,Sx,Sy,Sz,x,y,z
1762168175.1854746,18.0,3.0,-953.0,0,0,0,0.0,0.0,0.0
1762168175.285934,0.0,-7.0,-1013.0,0,0,0,0.0,0.0,0.0
1762168175.4006495,5.0,-1.0,-981.0,0,0,0,0.0,0.0,0.0
1762168175.501349,5.0,-1.0,-981.0,0,0,0,0.0,0.0,0.0
1762168175.6166596,-1.0,-9.0,-983.0,0,0,0,0.0,0.0,0.0
1762168175.7326183,-4.0,-19.0,-1008.0,0,0,0,0.0,0.0,0.0
1762168175.8344672,2.0,-7.0,-990.0,0,0,0,0.0,0.0,0.0
1762168175.9516268,0.0,-20.0,-1007.0,0,0,0,0.0,0.0,0.0
1762168176.066634,8.0,4.0,-991.0,0,0,0,0.0,0.0,0.0
1762168176.1676254,11.0,-23.0,-1000.0,0,0,0,0.0,0.0,0.0
1762168176.2684846,-4.0,-5.0,-982.0,0,0,0,0.0,0.0,0.0
1762168176.3819747,-18.0,-8.0,-995.0,0,0,0,0.0,0.0,0.0
1762168176.4861114,7.0,-8.0,-987.0,0,0,0,0.0,0.0,0.0
1762168176.6011388,-6.0,-27.0,-1034.0,0,0,0,0.0,0.0,0.0
1762168176.7166097,-5.0,-24.0,-992.0,0,0,0,0.0,0.0,0.0
1762168176.8311357,-15.0,-20.0,-1026.0,0,0,0,0.0,0.0,0.0
1762168176.9326909,-5.0,-7.0,-981.0,0,0,0,0.0,0.0,0.0
1762168177.0349624,16.0,-20.0,-982.0,0,0,0,0.0,0.0,0.0
1762168177.1491368,-5.0,-32.0,-1002.0,0,0,0,0.0,0.0,0.0
1762168177.2507133,-1.0,-26.0,-1016.0,0,0,0,0.0,0.0,0.0
1762168177.3662097,-16.0,-17.0,-982.0,0,0,0,0.0,0.0,0.0
1762168177.4675345,-15.0,-16.0,-996.0,0,0,0,0.0,0.0,0.0
1762168177.5825953,-10.0,-18.0,-1022.0,0,0,0,0.0,0.0,0.0
1762168177.701489,-15.0,-25.0,-1021.0,0,0,0,0.0,0.0,0.0
1762168177.8173375,-34.0,-27.0,-999.0,-1,0,0,-0.11584854125976562,0.0,0.0
1762168177.9188836,9.0,0.0,-977.0,-1,0,0,-0.21739459037780762,0.0,0.0
1762168178.0199933,-1.0,-6.0,-960.0,-1,0,0,-0.31850433349609375,0.0,0.0
1762168178.1205058,-8.0,-6.0,-984.0,-1,0,0,-0.41901683807373047,0.0,0.0
1762168178.2362146,-1.0,-13.0,-992.0,-1,0,0,-0.5347256660461426,0.0,0.0
1762168178.3368042,-2.0,-15.0,-980.0,-1,0,0,-0.6353151798248291,0.0,0.0
1762168178.4513626,2.0,-9.0,-988.0,-1,0,0,-0.7498736381530762,0.0,0.0
1762168178.5517743,-12.0,-12.0,-996.0,-1,0,0,-0.8502852916717529,0.0,0.0
1762168178.6550827,-17.0,-15.0,-995.0,-1,0,0,-0.9535937309265137,0.0,0.0
